,assembly,BGC,cblast_score,,
211,102,scaffold_1281,726,,102_scaffold_1281
212,102,scaffold_1505,2411,,102_scaffold_1505
213,102,scaffold_1059,,,102_scaffold_1059
214,102,scaffold_37,3449,,102_scaffold_37
215,102,scaffold_350,1358,,102_scaffold_350
216,102,scaffold_1110,2634,,102_scaffold_1110
217,102,scaffold_275,905,,102_scaffold_275
218,175,scaffold_47,,,175_scaffold_47
219,175,scaffold_54,,,175_scaffold_54
220,108,c00077_NODE,,,108_c00077_NODE
221,108,c00004_NODE,755,,108_c00004_NODE
222,108,c00139_NODE,,,108_c00139_NODE
223,108,c00002_NODE,,,108_c00002_NODE
224,108,c00025_NODE,,,108_c00025_NODE
225,108,c00009_NODE,,,108_c00009_NODE
226,292,scaffold_313,,,292_scaffold_313
227,292,scaffold_733,895,,292_scaffold_733
228,292,scaffold_159,,,292_scaffold_159
229,292,scaffold_168,1371,,292_scaffold_168
230,292,scaffold_483,,,292_scaffold_483
231,292,scaffold_16,,,292_scaffold_16
232,292,scaffold_185,,,292_scaffold_185
233,292,scaffold_233,,,292_scaffold_233
234,292,scaffold_126,,,292_scaffold_126
235,306,scaffold_756,1058,,306_scaffold_756
236,306,scaffold_479,2721,,306_scaffold_479
237,306,scaffold_133,2985,,306_scaffold_133
238,306,scaffold_2306,,,306_scaffold_2306
239,306,scaffold_759,,,306_scaffold_759
240,306,scaffold_8,1338,,306_scaffold_8
241,306,scaffold_144,2998,,306_scaffold_144
242,306,scaffold_63,2581,,306_scaffold_63
243,306,scaffold_1036,,,306_scaffold_1036
244,306,scaffold_1363,,,306_scaffold_1363
245,306,scaffold_432,1627,,306_scaffold_432
246,306,scaffold_1041,,,306_scaffold_1041
247,306,scaffold_872,,,306_scaffold_872
248,306,scaffold_582,2628,,306_scaffold_582
249,306,scaffold_490,,,306_scaffold_490
250,306,scaffold_41,480,,306_scaffold_41
251,306,scaffold_695,,,306_scaffold_695
252,306,scaffold_412,,,306_scaffold_412
253,306,scaffold_47,3658,,306_scaffold_47
254,306,scaffold_292,,,306_scaffold_292
255,306,scaffold_87,5590,,306_scaffold_87
256,306,scaffold_1426,,,306_scaffold_1426
257,306,scaffold_929,,,306_scaffold_929
258,306,scaffold_669,,,306_scaffold_669
259,306,scaffold_817,,,306_scaffold_817
260,306,scaffold_45,2477,,306_scaffold_45
261,306,scaffold_1366,1479,,306_scaffold_1366
262,371,scaffold_828,,,371_scaffold_828
263,371,scaffold_194,,,371_scaffold_194
264,371,scaffold_142,,,371_scaffold_142
265,371,scaffold_353,,,371_scaffold_353
266,371,scaffold_50,,,371_scaffold_50
267,371,scaffold_501,,,371_scaffold_501
268,371,scaffold_71,,,371_scaffold_71
269,371,scaffold_27,,,371_scaffold_27
270,371,scaffold_413,,,371_scaffold_413
271,371,scaffold_4,,,371_scaffold_4
272,371,scaffold_104,,,371_scaffold_104
273,371,scaffold_593,,,371_scaffold_593
274,371,scaffold_315,2514,,371_scaffold_315
275,371,scaffold_356,,,371_scaffold_356
276,371,scaffold_396,,,371_scaffold_396
277,371,scaffold_76,1378,,371_scaffold_76
278,371,scaffold_423,,,371_scaffold_423
279,371,scaffold_435,,,371_scaffold_435
280,371,scaffold_703,,,371_scaffold_703
281,371,scaffold_153,,,371_scaffold_153
282,371,scaffold_15,,,371_scaffold_15
283,371,scaffold_210,,,371_scaffold_210
284,371,scaffold_290,,,371_scaffold_290
285,371,scaffold_48,,,371_scaffold_48
286,371,scaffold_412,,,371_scaffold_412
287,371,scaffold_521,,,371_scaffold_521
288,371,scaffold_101,4168,,371_scaffold_101
289,371,scaffold_202,,,371_scaffold_202
290,79,scaffold_53,3483,,79_scaffold_53
291,79,scaffold_112,225,,79_scaffold_112
292,79,scaffold_21,3757,,79_scaffold_21
293,298,c00001_NODE,,,298_c00001_NODE
294,276,scaffold_613,,,276_scaffold_613
295,276,scaffold_905,542,,276_scaffold_905
296,276,scaffold_11,,,276_scaffold_11
297,276,scaffold_290,,,276_scaffold_290
298,276,scaffold_29,2882,,276_scaffold_29
299,276,scaffold_88,,,276_scaffold_88
300,276,scaffold_132,,,276_scaffold_132
301,276,scaffold_824,,,276_scaffold_824
302,276,scaffold_143,,,276_scaffold_143
303,276,scaffold_853,,,276_scaffold_853
304,276,scaffold_698,,,276_scaffold_698
305,276,scaffold_1292,,,276_scaffold_1292
306,276,scaffold_214,,,276_scaffold_214
307,276,scaffold_791,2331,,276_scaffold_791
308,276,scaffold_825,1586,,276_scaffold_825
309,276,scaffold_1152,,,276_scaffold_1152
310,276,scaffold_63,1821,,276_scaffold_63
311,276,scaffold_850,,,276_scaffold_850
312,276,scaffold_1248,,,276_scaffold_1248
313,276,scaffold_530,424,,276_scaffold_530
314,276,scaffold_90,,,276_scaffold_90
315,276,scaffold_700,,,276_scaffold_700
316,276,scaffold_71,,,276_scaffold_71
317,276,scaffold_44,2001,,276_scaffold_44
318,129,scaffold_1673,,,129_scaffold_1673
319,129,scaffold_1968,,,129_scaffold_1968
320,129,scaffold_987,2559,,129_scaffold_987
321,129,scaffold_1591,,,129_scaffold_1591
322,129,scaffold_1894,,,129_scaffold_1894
323,129,scaffold_438,1493,,129_scaffold_438
324,129,scaffold_1823,,,129_scaffold_1823
325,129,scaffold_475,4048,,129_scaffold_475
326,129,scaffold_25,2287,,129_scaffold_25
327,129,scaffold_1247,,,129_scaffold_1247
328,129,scaffold_1892,,,129_scaffold_1892
329,129,scaffold_1154,,,129_scaffold_1154
330,129,scaffold_1364,,,129_scaffold_1364
331,129,scaffold_1696,,,129_scaffold_1696
332,129,scaffold_1558,,,129_scaffold_1558
333,129,scaffold_1405,,,129_scaffold_1405
334,129,scaffold_16,5386,,129_scaffold_16
335,129,scaffold_853,,,129_scaffold_853
336,129,scaffold_1488,2914,,129_scaffold_1488
337,129,scaffold_103,4252,,129_scaffold_103
338,129,scaffold_997,3374,,129_scaffold_997
339,129,scaffold_1602,,,129_scaffold_1602
340,129,scaffold_1432,,,129_scaffold_1432
341,129,scaffold_831,2824,,129_scaffold_831
342,129,scaffold_1832,,,129_scaffold_1832
343,129,scaffold_581,2660,,129_scaffold_581
344,129,scaffold_963,2994,,129_scaffold_963
345,129,scaffold_405,1852,,129_scaffold_405
346,129,scaffold_1575,,,129_scaffold_1575
347,129,scaffold_1069,1806,,129_scaffold_1069
348,129,scaffold_865,1447,,129_scaffold_865
349,129,scaffold_996,,,129_scaffold_996
350,129,scaffold_135,2020,,129_scaffold_135
351,129,scaffold_1622,,,129_scaffold_1622
352,129,scaffold_610,3495,,129_scaffold_610
353,129,scaffold_211,12862,,129_scaffold_211
354,129,scaffold_1608,,,129_scaffold_1608
355,129,scaffold_1897,,,129_scaffold_1897
356,154,scaffold_68,,,154_scaffold_68
357,154,scaffold_50,630,,154_scaffold_50
358,154,scaffold_2,1244,,154_scaffold_2
359,154,scaffold_11,2006,,154_scaffold_11
360,350,scaffold_58,3185,,350_scaffold_58
361,350,scaffold_95,,,350_scaffold_95
362,350,scaffold_903,,,350_scaffold_903
363,350,scaffold_219,1690,,350_scaffold_219
364,350,scaffold_1,4334,,350_scaffold_1
365,350,scaffold_2113,,,350_scaffold_2113
366,350,scaffold_939,,,350_scaffold_939
367,350,scaffold_1231,710,,350_scaffold_1231
368,350,scaffold_176,2950,,350_scaffold_176
369,350,scaffold_594,,,350_scaffold_594
370,350,scaffold_349,,,350_scaffold_349
371,350,scaffold_2244,,,350_scaffold_2244
372,350,scaffold_549,,,350_scaffold_549
373,350,scaffold_1433,,,350_scaffold_1433
374,350,scaffold_2238,585,,350_scaffold_2238
375,350,scaffold_250,3102,,350_scaffold_250
376,350,scaffold_185,,,350_scaffold_185
377,350,scaffold_528,750,,350_scaffold_528
378,350,scaffold_818,,,350_scaffold_818
379,350,scaffold_783,859,,350_scaffold_783
380,350,scaffold_302,,,350_scaffold_302
381,350,scaffold_843,2711,,350_scaffold_843
382,350,scaffold_496,2116,,350_scaffold_496
383,350,scaffold_48,4424,,350_scaffold_48
384,350,scaffold_147,3628,,350_scaffold_147
385,350,scaffold_435,4989,,350_scaffold_435
386,350,scaffold_1450,,,350_scaffold_1450
387,350,scaffold_459,,,350_scaffold_459
388,350,scaffold_1805,,,350_scaffold_1805
389,350,scaffold_1389,,,350_scaffold_1389
390,350,scaffold_819,2028,,350_scaffold_819
391,350,scaffold_1485,,,350_scaffold_1485
392,350,scaffold_690,,,350_scaffold_690
393,350,scaffold_104,6950,,350_scaffold_104
394,350,scaffold_606,,,350_scaffold_606
395,350,scaffold_10,2120,,350_scaffold_10
396,350,scaffold_1501,,,350_scaffold_1501
397,350,scaffold_90,1229,,350_scaffold_90
398,350,scaffold_588,3607,,350_scaffold_588
399,350,scaffold_740,,,350_scaffold_740
400,350,scaffold_1562,,,350_scaffold_1562
401,350,scaffold_2178,,,350_scaffold_2178
402,350,scaffold_434,,,350_scaffold_434
403,350,scaffold_684,,,350_scaffold_684
404,350,scaffold_877,3240,,350_scaffold_877
405,350,scaffold_262,1767,,350_scaffold_262
406,350,scaffold_239,,,350_scaffold_239
407,350,scaffold_279,,,350_scaffold_279
408,350,scaffold_391,3130,,350_scaffold_391
409,350,scaffold_1173,,,350_scaffold_1173
410,350,scaffold_121,2438,,350_scaffold_121
411,350,scaffold_706,,,350_scaffold_706
412,350,scaffold_38,2178,,350_scaffold_38
413,350,scaffold_574,,,350_scaffold_574
414,350,scaffold_1566,,,350_scaffold_1566
415,350,scaffold_313,4335,,350_scaffold_313
416,350,scaffold_2,,,350_scaffold_2
417,350,scaffold_332,1766,,350_scaffold_332
418,350,scaffold_1360,,,350_scaffold_1360
419,350,scaffold_470,,,350_scaffold_470
420,350,scaffold_102,,,350_scaffold_102
421,327,scaffold_686,,,327_scaffold_686
422,327,scaffold_716,,,327_scaffold_716
423,327,scaffold_40,1715,,327_scaffold_40
424,327,scaffold_232,1611,,327_scaffold_232
425,327,scaffold_455,1482,,327_scaffold_455
426,327,scaffold_180,3705,,327_scaffold_180
427,327,scaffold_1050,,,327_scaffold_1050
428,327,scaffold_1637,,,327_scaffold_1637
429,327,scaffold_806,,,327_scaffold_806
430,327,scaffold_445,2889,,327_scaffold_445
431,327,scaffold_1448,1015,,327_scaffold_1448
432,327,scaffold_176,3916,,327_scaffold_176
433,327,scaffold_223,,,327_scaffold_223
434,327,scaffold_275,1461,,327_scaffold_275
435,327,scaffold_766,,,327_scaffold_766
436,327,scaffold_246,,,327_scaffold_246
437,327,scaffold_20,10410,,327_scaffold_20
438,188,c00056_NODE,554,,188_c00056_NODE
439,188,c00164_NODE,328,,188_c00164_NODE
440,265,c00008_NODE,1166,,265_c00008_NODE
441,265,c00020_NODE,,,265_c00020_NODE
442,265,c00090_NODE,888,,265_c00090_NODE
443,265,c00039_NODE,,,265_c00039_NODE
444,265,c00042_NODE,809,,265_c00042_NODE
445,265,c00001_NODE,,,265_c00001_NODE
446,265,c00083_NODE,195,,265_c00083_NODE
447,84,scaffold_360,931,,84_scaffold_360
448,84,scaffold_1506,,,84_scaffold_1506
449,84,scaffold_27,6897,,84_scaffold_27
450,84,scaffold_106,6088,,84_scaffold_106
451,84,scaffold_285,1490,,84_scaffold_285
452,84,scaffold_511,2251,,84_scaffold_511
453,84,scaffold_86,7434,,84_scaffold_86
454,84,scaffold_950,,,84_scaffold_950
455,84,scaffold_192,4726,,84_scaffold_192
456,84,scaffold_553,1970,,84_scaffold_553
457,84,scaffold_152,3557,,84_scaffold_152
458,84,scaffold_441,3975,,84_scaffold_441
459,84,scaffold_142,752,,84_scaffold_142
460,84,scaffold_23,6173,,84_scaffold_23
461,84,scaffold_102,6312,,84_scaffold_102
462,84,scaffold_54,4286,,84_scaffold_54
463,84,scaffold_42,8090,,84_scaffold_42
464,84,scaffold_82,3210,,84_scaffold_82
465,84,scaffold_699,,,84_scaffold_699
466,84,scaffold_659,,,84_scaffold_659
467,84,scaffold_137,,,84_scaffold_137
468,84,scaffold_222,4270,,84_scaffold_222
469,84,scaffold_40,,,84_scaffold_40
470,84,scaffold_1178,1596,,84_scaffold_1178
471,84,scaffold_9,,,84_scaffold_9
472,84,scaffold_62,,,84_scaffold_62
473,84,scaffold_1217,,,84_scaffold_1217
474,84,scaffold_412,,,84_scaffold_412
475,84,scaffold_17,6889,,84_scaffold_17
476,84,scaffold_30,786,,84_scaffold_30
477,84,scaffold_463,,,84_scaffold_463
478,84,scaffold_688,2208,,84_scaffold_688
479,84,scaffold_66,5473,,84_scaffold_66
480,84,scaffold_512,4381,,84_scaffold_512
481,84,scaffold_64,2936,,84_scaffold_64
482,218,scaffold_24,,,218_scaffold_24
483,218,scaffold_477,,,218_scaffold_477
484,218,scaffold_289,,,218_scaffold_289
485,218,scaffold_181,,,218_scaffold_181
486,218,scaffold_431,,,218_scaffold_431
487,218,scaffold_183,1362,,218_scaffold_183
488,218,scaffold_155,,,218_scaffold_155
489,218,scaffold_200,1849,,218_scaffold_200
490,218,scaffold_333,,,218_scaffold_333
491,218,scaffold_575,,,218_scaffold_575
492,218,scaffold_161,,,218_scaffold_161
493,218,scaffold_61,1544,,218_scaffold_61
494,218,scaffold_226,,,218_scaffold_226
495,218,scaffold_28,4514,,218_scaffold_28
496,218,scaffold_25,,,218_scaffold_25
497,218,scaffold_420,2498,,218_scaffold_420
498,218,scaffold_50,,,218_scaffold_50
499,218,scaffold_455,,,218_scaffold_455
500,218,scaffold_46,5253,,218_scaffold_46
501,218,scaffold_439,,,218_scaffold_439
502,315,scaffold_1,,,315_scaffold_1
503,315,scaffold_11,,,315_scaffold_11
504,315,scaffold_12,,,315_scaffold_12
505,315,scaffold_4,,,315_scaffold_4
506,362,scaffold_115,3583,,362_scaffold_115
507,362,scaffold_280,,,362_scaffold_280
508,362,scaffold_73,,,362_scaffold_73
509,362,scaffold_195,,,362_scaffold_195
510,362,scaffold_52,,,362_scaffold_52
511,362,scaffold_6,1449,,362_scaffold_6
512,362,scaffold_122,,,362_scaffold_122
513,362,scaffold_698,1292,,362_scaffold_698
514,362,scaffold_117,,,362_scaffold_117
515,362,scaffold_101,,,362_scaffold_101
516,362,scaffold_27,,,362_scaffold_27
517,362,scaffold_10,,,362_scaffold_10
518,362,scaffold_350,,,362_scaffold_350
519,362,scaffold_90,,,362_scaffold_90
520,362,scaffold_707,,,362_scaffold_707
521,362,scaffold_86,,,362_scaffold_86
522,362,scaffold_412,,,362_scaffold_412
523,362,scaffold_46,,,362_scaffold_46
524,362,scaffold_107,4416,,362_scaffold_107
525,362,scaffold_191,,,362_scaffold_191
526,362,scaffold_776,,,362_scaffold_776
527,362,scaffold_126,,,362_scaffold_126
528,362,scaffold_2,1022,,362_scaffold_2
529,362,scaffold_396,,,362_scaffold_396
530,362,scaffold_96,4342,,362_scaffold_96
531,362,scaffold_23,,,362_scaffold_23
532,362,scaffold_302,,,362_scaffold_302
533,362,scaffold_124,,,362_scaffold_124
534,362,scaffold_798,,,362_scaffold_798
535,362,scaffold_94,,,362_scaffold_94
536,362,scaffold_132,,,362_scaffold_132
537,362,scaffold_354,,,362_scaffold_354
538,362,scaffold_17,2313,,362_scaffold_17
539,362,scaffold_415,1210,,362_scaffold_415
540,362,scaffold_110,,,362_scaffold_110
541,362,scaffold_20,1355,,362_scaffold_20
542,362,scaffold_253,1356,,362_scaffold_253
543,362,scaffold_173,,,362_scaffold_173
544,362,scaffold_1,,,362_scaffold_1
545,362,scaffold_55,,,362_scaffold_55
546,362,scaffold_524,,,362_scaffold_524
547,362,scaffold_125,,,362_scaffold_125
548,362,scaffold_165,2485,,362_scaffold_165
549,362,scaffold_362,,,362_scaffold_362
550,362,scaffold_144,3587,,362_scaffold_144
551,362,scaffold_291,2715,,362_scaffold_291
552,362,scaffold_305,,,362_scaffold_305
553,362,scaffold_385,3102,,362_scaffold_385
554,362,scaffold_844,,,362_scaffold_844
555,362,scaffold_579,,,362_scaffold_579
556,362,scaffold_93,,,362_scaffold_93
557,362,scaffold_13,,,362_scaffold_13
558,362,scaffold_7,,,362_scaffold_7
559,362,scaffold_447,,,362_scaffold_447
560,362,scaffold_825,,,362_scaffold_825
561,362,scaffold_773,,,362_scaffold_773
562,362,scaffold_87,,,362_scaffold_87
563,362,scaffold_51,,,362_scaffold_51
564,362,scaffold_11,,,362_scaffold_11
565,362,scaffold_501,,,362_scaffold_501
566,362,scaffold_66,2365,,362_scaffold_66
567,318,scaffold_138,,,318_scaffold_138
568,318,scaffold_106,,,318_scaffold_106
569,318,scaffold_79,,,318_scaffold_79
570,262,scaffold_28,4361,,262_scaffold_28
571,262,scaffold_170,3599,,262_scaffold_170
572,262,scaffold_209,3158,,262_scaffold_209
573,262,scaffold_89,6011,,262_scaffold_89
574,262,scaffold_267,10869,,262_scaffold_267
575,262,scaffold_172,3339,,262_scaffold_172
576,262,scaffold_1,4846,,262_scaffold_1
577,262,scaffold_145,10970,,262_scaffold_145
578,262,scaffold_148,1037,,262_scaffold_148
579,262,scaffold_122,3893,,262_scaffold_122
580,262,scaffold_183,9531,,262_scaffold_183
581,262,scaffold_278,1069,,262_scaffold_278
582,262,scaffold_35,9930,,262_scaffold_35
583,262,scaffold_6,2104,,262_scaffold_6
584,262,scaffold_20,9447,,262_scaffold_20
585,262,scaffold_175,7148,,262_scaffold_175
586,262,scaffold_7,2420,,262_scaffold_7
587,262,scaffold_274,,,262_scaffold_274
588,262,scaffold_161,5136,,262_scaffold_161
589,262,scaffold_39,2443,,262_scaffold_39
590,262,scaffold_34,3785,,262_scaffold_34
591,262,scaffold_48,6835,,262_scaffold_48
592,262,scaffold_285,1083,,262_scaffold_285
593,262,scaffold_13,5724,,262_scaffold_13
594,262,scaffold_88,700,,262_scaffold_88
595,262,scaffold_288,4834,,262_scaffold_288
596,262,scaffold_213,9199,,262_scaffold_213
597,262,scaffold_1,8584,,262_scaffold_1
598,262,scaffold_186,4245,,262_scaffold_186
599,262,scaffold_208,1839,,262_scaffold_208
600,262,scaffold_69,8457,,262_scaffold_69
