Assembly,estimated_coverage,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# total reads,# left,# right,Mapped (%),Properly paired (%),Avg. coverage depth,Coverage >= 1x (%),# N's per 100 kbp,genes,mRNA,tRNA,ncRNA,rRNA,avg_gene_length,BGC_count,kc_proportion,BGC_types,total_BGC_length,BGC_mean_length,BGC_median_length,contig_edge_proportion,average_min_cosine_score,GCC min > 0.4,novelty score,Query,Accession,Identity,Bitscore,E-value,Subject Name,BUSCO - C,BUSCO - S,BUSCO - D,BUSCO - F,BUSCO - M,isolate_class,isolate_order,isolate_family,isolate_genus,Host_ID,Host_location,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Photobiont,Growth_form,Macroclimate
11,18.27,15934,11376,2556,388,2,0,44110039,41437020,19507322,4858213,53578,0,14065,27856,43400599,53.22,4513,2587,3018,6177,5026834,2512539,2512539,98.43,98.16,14,100,1.22,14968,14847,121,0,0,1333.65,48,0.15,"indole, NRPS-like, terpene, T1PKS, NRPS",430339,8965.4,7972,1,0.05210737,0.05210737,1.599945409,NODE_15671_length_302_cov_26.165714|F|ITS2,NR_111022,100,303,3.01E-83,Pestalotiopsis pallidotheae MAFF 240993 ITS region; from TYPE material,1166 (88.87%),1164 (88.72%),2 (0.15%),114 (8.69%),32 (2.44%),Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
12,57.53,4311,1157,182,62,8,1,5086727,3908833,1873001,1053789,301317,67256,2009,67256,4510196,62.17,3743,1603,272,743,6215757,3102509,3102509,96.62,95.45,179,99.85,143.3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
13,0.6,17715,18,2,0,0,0,5646314,40201,11005,0,0,0,942,5545,587677,48.56,578,536,393,658,165665,82832,82832,8.37,7.76,3,99.99,6.81,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_10254_length_272_cov_0.875576|F,NR_137730,93.671,351,1.86E-97,Preussia persica CBS 117680 ITS region; from TYPE material,1 (0.1%),1 (0.1%),0,15 (1.1%),1296 (98.8%),Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
14,6.28,12411,9088,2038,335,3,0,35457741,33457306,15878992,4319538,91252,0,11169,36223,34985166,50.2,4572,2611,2376,4892,1745755,872191,872191,97.83,95.06,6,99.99,4.72,13385,13185,200,0,0,1126.7,32,0.19,"T1PKS, terpene, NRPS-like, NRPS",280131,8754.09,8105,1,0.052576128,0.052576128,1.32262852,NODE_3396_length_3606_cov_0.863754|F|ITS1,NR_166220,92.857,80.5,3.12E-15,Metarhizium baoshanense CCTCC M2016589 ITS region; from TYPE material,839 (63.95%),835 (63.64%),4 (0.3%),371 (28.28%),102 (7.77%),Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
15,33.93,3104,1154,808,654,385,211,33060152,32446379,31627313,30514603,26017827,19827786,1423,373154,32628628,51.75,64409,31035,150,330,9411441,4690383,4690383,99.56,97.54,39,99.99,6.04,10189,9934,255,0,0,1501.12,20,0.4,"indole, NRPS-like, terpene, T1PKS, NRPS",658538,32926.9,34441,0.65,0.096388036,0.096388036,2.020993925,NODE_1078_length_1278_cov_108.493484|F,NR_077168,92.601,636,0,Preussia flanaganii CBS 112.73 ITS region; from TYPE material,1244 (94.82%),1240 (94.51%),4 (0.3%),50 (3.81%),18 (1.37%),Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
16,8.78,6682,4779,2138,824,60,2,30250746,29290251,22254912,12996347,1884632,111640,5533,61304,29840322,53.96,8761,4928,1031,2164,2419106,1207173,1207173,98.82,97.68,10,99.99,1.34,10532,10255,277,0,0,1293.84,11,0.27,"T1PKS, terpene, NRPS-like, NRPS",146292,13299.27,12428,1,0.026660816,0.026660816,1.576129491,,,,,,,1041 (79.34%),1034 (78.81%),7 (0.53%),194 (14.79%),77 (5.87%),unidentified,unidentified,unidentified,unidentified,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
17,4.07,58557,6936,3,0,0,0,30658215,10293685,19569,0,0,0,21994,7602,20777692,48.95,994,708,7032,13244,1111237,552651,552651,75.88,70.86,5,99.98,16.43,6347,6274,73,0,0,683.93,0,0,,0,0,0,0,0,0,0,NODE_5605_length_1099_cov_85.708812|F,NR_166236,89.216,370,2.19E-102,Gyromitra anthracobia LIP 0001407 ITS region; from TYPE material,160 (12.2%),159 (12.12%),1 (0.08%),377 (28.73%),775 (59.07%),Pezizomycetes,Pezizales,Discinaceae,Gyromitra,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
18,50.88,2173,1165,969,828,532,276,40260713,39846881,39365824,38301282,33285299,23870392,1409,245252,40012268,54.71,59629,34284,205,422,14055479,7017805,7017805,99.78,97.69,49,100,1.47,12215,11955,260,0,0,1509.34,32,0.25,"T3PKS, NRPS-like, terpene, T1PKS, NRPS",1090190,34068.44,34617.5,0.72,0.057833975,0.057833975,2.397871714,NODE_1156_length_1058_cov_269.508056|F,NR_167688,97.281,560,1.17E-159,Coniochaeta hoffmannii CBS 245.38 ITS region; from TYPE material,1263 (96.27%),1261 (96.11%),2 (0.15%),32 (2.44%),17 (1.3%),Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
19,20.78,5899,4354,2215,1038,87,6,31980782,31175997,25569763,17074456,2909845,378615,5049,78349,31680618,52.07,10818,5990,920,1887,5758434,2872532,2872532,99.47,98.25,25,99.99,1.14,10443,10253,190,0,0,1445.55,20,0.4,"indole, NRPS-like, terpene, T1PKS, NRPS",382732,19136.6,16448.5,1,0.053144923,0.053144923,1.541048207,NODE_3976_length_1393_cov_71.143760|F,NR_103588,92.806,401,9.91E-112,Preussia isomera CBS 318.65 ITS region; from TYPE material,1219 (92.91%),1215 (92.61%),4 (0.3%),73 (5.56%),20 (1.52%),Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
20,38.51,6439,5197,2651,1103,85,1,36186864,35538118,28536289,17453926,2672043,54124,5771,54124,35948942,50,9665,5650,1157,2356,10701037,5347152,5347152,99.65,98.26,41,99.99,1.59,11029,10827,202,0,0,1556.48,45,0.22,"terpene, T1PKS, NRPS-like, NRPS",702143,15603.18,12197,1,0.050258877,0.050258877,1.953604156,NODE_4081_length_2396_cov_114.883208|F,NR_138447,97.476,894,0,Trichoderma virilente DAOM 234234 ITS region; from reference material,1259 (95.96%),1251 (95.35%),8 (0.61%),39 (2.97%),14 (1.07%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
21,0.84,16220,53,1,0,0,0,4888320,90714,7153,0,0,0,664,7153,465507,48.52,636,546,242,441,224057,111834,111834,14.21,13.27,7,99.93,53.7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
22,45.67,4587,2288,1520,1089,386,79,32902134,32119390,30219782,27060009,15906925,5269722,2684,150430,32398468,51.86,24573,13202,398,851,12712534,6340317,6340317,99.6,97.86,53,99.99,4.38,10706,10474,232,0,0,1468.21,23,0.43,"indole, NRPS-like, terpene, T1PKS, NRPS",566102,24613.13,21420,0.91,0.06780784,0.06780784,1.763117164,NODE_2231_length_1114_cov_131.937183|F|ITS2,NR_103588,90.196,196,4.89E-51,Preussia isomera CBS 318.65 ITS region; from TYPE material,1255 (95.66%),1251 (95.35%),4 (0.3%),47 (3.58%),10 (0.76%),Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,269,Kaitoke,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Green,Foliose,"Warm, sub-humid"
23,25.99,2317,1647,1041,758,421,181,33475727,33156119,31618825,29585052,24098545,15665718,1885,252573,33329061,53.26,44696,22728,203,459,7191345,3591806,3591806,99.65,98.7,29,99.99,0.81,11040,10896,144,0,0,1512.63,30,0.47,"T1PKS, terpene, NRPS, NRPS-like",954505,31816.83,29782.5,0.77,0.057550704,0.057550704,1.682376574,NODE_1658_length_984_cov_20.071179|F,NR_135942,98.734,562,3.01E-160,Ascochyta phacae CBS 184.55 ITS region; from TYPE material,1241 (94.59%),1239 (94.44%),2 (0.15%),53 (4.04%),18 (1.37%),Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
24,25.92,3762,3310,2116,1218,268,25,34573400,34320542,31006002,24469660,9517535,1489705,3550,97787,34498508,53.3,16347,8963,655,1367,7188974,3593073,3593073,99.7,99.55,26,100,0.96,11598,11364,234,0,0,1543.46,38,0.11,"T3PKS, NRPS-like, terpene, T1PKS, NRPS",745197,19610.45,16775,0.97,0.057671034,0.057671034,2.479656802,NODE_3117_length_1484_cov_83.496684|F,NR_167688,92.837,1000,0,Coniochaeta hoffmannii CBS 245.38 ITS region; from TYPE material,1238 (94.36%),1234 (94.05%),4 (0.3%),57 (4.34%),17 (1.3%),Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
25,0.37,8833,10,0,0,0,0,2613851,19853,0,0,0,0,237,4523,153832,51.49,588,533,94,163,94805,47381,47381,5.65,4.88,4,99.97,19.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_4418_length_270_cov_2.390698|F|ITS2,NR_168777,98.658,263,4.54E-71,Sordaria tenerifae CBS 264.86 ITS region; from TYPE material,,,,,,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
26,30.51,7491,3882,1942,1247,439,89,41924995,40313981,35779256,30722583,17666041,5685345,5004,118870,41109755,50.89,21297,9873,565,1259,8541334,4255625,4255625,99.6,96.56,27,99.98,0.95,11872,11662,210,0,0,1472.09,25,0,"indole, fungal-RiPP, NRPS-like, siderophore, terpene, T1PKS, NRPS",561067,22442.68,21177,0.92,0.106826974,0.106826974,2.875293669,NODE_4629_length_611_cov_32.291322|F|ITS1,NR_103690,87.467,418,2.60E-117,Tricharina praecox var. praecox CBS 240.85 ITS region; from TYPE material,1211 (92.3%),1198 (91.31%),13 (0.99%),75 (5.72%),26 (1.98%),Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
27,18.98,8238,4147,2737,1622,355,25,45240538,43928527,39986491,31860308,12337811,1445520,4827,81794,44406333,52.91,15989,9150,856,1773,5243936,2619507,2619507,99.43,98.74,16,99.99,8.86,14375,14037,338,0,0,1491.33,48,0.21,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",1039466,21655.54,21493,0.98,0.094888063,0.094888063,2.312914044,NODE_2558_length_5690_cov_313.121917|F,NR_160111,94.977,339,2.30E-93,Triangularia mangenotii CBS 419.67 ITS region; from TYPE material,1224 (93.29%),1220 (92.99%),4 (0.3%),57 (4.34%),31 (2.36%),Sordariomycetes,Sordariales,Podosporaceae,Triangularia,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
28,43.58,8169,5652,2341,1070,149,8,37171589,35884793,27343704,18371569,4808012,450836,6746,68362,36684159,48.44,10007,4935,1068,2376,11839258,5897689,5897689,99.56,97.13,43,99.98,1.42,10734,10132,602,0,0,1473.31,9,0,"T1PKS, terpene, NRPS-like, NRPS",169763,18862.56,16274,1,0.055469822,0.055469822,2.369343113,NODE_6414_length_623_cov_119.828629|F,NR_160444,80.973,316,1.62E-86,Terfezia grisea MUB Fung-j388 ITS region; from TYPE material,1166 (88.87%),1165 (88.8%),1 (0.08%),99 (7.55%),47 (3.58%),Pezizomycetes,Pezizales,Pezizaceae,Terfezia,426,"Embo St, Dunedin",Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,verisidiosa,Green,Foliose,"Cool, sub-humid"
29,10.54,8195,6395,2135,529,9,0,30920692,29899089,18486720,7320341,258372,0,7377,34325,30617142,49.47,6124,3595,1562,3188,2906982,1451426,1451426,98.9,98.34,12,100,1.24,11725,11590,135,0,0,1446.24,63,0.16,"indole, T3PKS, NRPS-like, terpene, T1PKS, betalactone, NRPS",686938,10903.78,9603,1,0.070269915,0.070269915,1.822024267,NODE_5955_length_1289_cov_41.592083|F,NR_137132,99.797,904,0,Penicillium malmesburiense CBS 137744 ITS region; from TYPE material,1196 (91.16%),1188 (90.55%),8 (0.61%),95 (7.24%),21 (1.6%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
30,62.2,1012,465,354,321,275,216,36021268,35809410,35559859,35307940,34495112,32363348,573,533854,35884092,51.27,157796,96323,68,141,17406252,8699090,8699090,99.84,99.6,67,100,1.48,12121,12027,94,0,0,1590.26,26,0.15,"NRPS-like, terpene, T1PKS, betalactone, NRPS",1036087,39849.5,43699,0.27,0.05910013,0.05910013,2.758500881,NODE_39_length_228748_cov_8.292283|F|ITS2,NR_160055,98.639,259,5.96E-70,Neopyrenochaeta acicola CBS 812.95 ITS region; from TYPE material,1278 (97.41%),1272 (96.95%),6 (0.46%),23 (1.75%),11 (0.84%),Dothideomycetes,Pleosporales,Neopyrenochaeta,Neopyrenochaeta,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
31,65.43,2563,1162,769,616,408,245,35735757,35180093,34244625,33143189,29717473,23818044,1492,311692,35405869,50.03,74364,37743,144,308,18229042,9107861,9107861,99.87,97.86,73,99.99,2.2,10345,10181,164,0,0,1539.56,47,0.32,"indole, fungal-RiPP, NRPS-like, terpene, T1PKS, NRPS",1689311,35942.79,38132,0.57,0.088597736,0.088597736,2.316668635,NODE_1044_length_1434_cov_156.661821|F,NR_138303,99.396,902,0,Penicillium annulatum CV 37 ITS region; from TYPE material,1276 (97.26%),1269 (96.72%),7 (0.53%),26 (1.98%),10 (0.76%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
32,64.08,1770,1023,783,646,419,244,37548289,37229248,36639218,35600261,31830059,25467447,1211,312546,37357002,55.29,78279,40455,135,301,17652890,8822905,8822905,99.81,97.84,67,100,1.07,12194,11866,328,0,0,1485.17,21,0.14,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",718108,34195.62,35826,0.67,0.073382362,0.073382362,2.745357919,NODE_931_length_1821_cov_169.863046|F,NR_157508,92.292,695,0,Coniochaeta baysunika TASM 6131 ITS region; from TYPE material,1261 (96.11%),1259 (95.96%),2 (0.15%),40 (3.05%),11 (0.84%),Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,427,Lewis Pass,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Bunodophoron,ramuliferum,Green,Fruticose,"Cool, humid"
33,9.9,10740,8141,2773,782,14,0,40271491,38764938,24625598,10788808,393853,0,9640,38245,39855686,49.25,6334,3624,1936,4011,2758233,1378371,1378371,98.96,96.16,9,99.99,2.66,12629,12436,193,0,0,1404.39,60,0.18,"indole, NRPS-like, terpene, T1PKS, NRPS",736809,12280.15,11089,1,0.053303632,0.053303632,1.717017421,NODE_6029_length_2128_cov_8.950525|F,NR_147567,92.373,331,4.17E-91,Xylaria longissima IRAN 2268C ITS region; from TYPE material,1120 (85.37%),1117 (85.14%),3 (0.23%),148 (11.28%),44 (3.35%),Sordariomycetes,Xylariales,Xylariaceae,Xylaria,427,Lewis Pass,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Bunodophoron,ramuliferum,Green,Fruticose,"Cool, humid"
34,1.8,29435,840,1,0,0,0,11913286,1102589,5605,0,0,0,6660,5605,4952420,53.01,725,594,2483,4380,478927,237776,237776,43.71,40.83,5,99.97,20.19,,,,,,,0,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,427,Lewis Pass,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Bunodophoron,ramuliferum,Green,Fruticose,"Cool, humid"
35,17.8,9655,6783,2607,732,15,0,35844694,34262459,23230850,10078484,477540,0,8228,42332,35314691,53.06,6797,3985,1655,3332,4863100,2425949,2425949,99.2,97.6,18,99.99,1.22,10453,10153,300,0,0,1438.95,24,0.17,"indole, NRPS-like, terpene, T1PKS, NRPS",261069,10877.88,9858.5,1,0.017120956,0.017120956,1.720352246,NODE_7438_length_742_cov_24.559350|F,NR_163513,95.372,797,0,Neurospora dictyophora CBS 529.95 ITS region; from TYPE material,1206 (91.92%),1205 (91.84%),1 (0.08%),87 (6.63%),19 (1.45%),Sordariomycetes,Sordariales,Sordariaceae,Neurospora,427,Lewis Pass,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Bunodophoron,ramuliferum,Green,Fruticose,"Cool, humid"
36,2.38,38293,1141,0,0,0,0,15680898,1467529,0,0,0,0,8951,4788,6654020,57.19,730,596,3357,5892,651481,324944,324944,43.11,41.61,5,99.97,9.17,4150,4149,1,0,0,624.72,0,0,,0,0,0,0,0,0,0,NODE_24762_length_283_cov_77.614035|F,NR_163513,100,496,8.43E-141,Neurospora dictyophora CBS 529.95 ITS region; from TYPE material,52 (3.96%),52 (3.96%),0 (0.0%),329 (25.08%),931 (70.96%),Sordariomycetes,Sordariales,Sordariaceae,Neurospora,427,Lewis Pass,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Bunodophoron,ramuliferum,Green,Fruticose,"Cool, humid"
