Accession,Hit,Score,Database,Assembly
BO99DRAFT_395120,cur_C_accs,530.7,5,GCA_003184705
BO99DRAFT_445585,cur_B_accs,397.3,5,GCA_003184705
BO99DRAFT_450685,cur_M_accs,658.2,5,GCA_003184705
BO80DRAFT_453475,cur_G_accs,642.5,5,GCA_003184845
BO80DRAFT_448139,cur_C_accs,529.2,5,GCA_003184845
BO80DRAFT_453476,cur_M_accs,676.5,5,GCA_003184845
BO80DRAFT_363328,cur_M_accs,628.1,5,GCA_003184845
F5Y07DRAFT_97163,cur_G_accs,462.5,5,GCA_022578765
LCP9604111_1715,cur_C_accs,571.3,5,GCA_015533775
LCP9604111_1716,cur_B_accs,405.9,5,GCA_015533775
LCP9604111_1717,cur_M_accs,703.5,5,GCA_015533775
LCP9604111_1718,cur_G_accs,558.7,5,GCA_015533775
EDB80DRAFT_681564,cur_G_accs,473.2,5,GCA_020740775
AtubIFM57143_007972,cur_C_accs,533.4,5,GCA_027923665
AtubIFM57143_001470,cur_C_accs,533.3,5,GCA_027923665
AtubIFM57143_007974,cur_M_accs,673.4,5,GCA_027923665
AtubIFM57143_001469,cur_G_accs,536.8,5,GCA_027923665
DH86_00003119,cur_G_accs,472.7,5,GCA_000743665
ABL_01219,cur_C_accs,533.3,5,GCA_001515345
ABL_04803,cur_C_accs,528.1,5,GCA_001515345
ABL_04802,cur_M_accs,658.4,5,GCA_001515345
ABL_01220,cur_G_accs,536.8,5,GCA_001515345
HYE68_002694,cur_G_accs,500.1,26,GCA_016952305
HYE68_008269,cur_G_accs,464.2,26,GCA_016952305
F5883DRAFT_561973,cur_C_accs,468.4,26,GCA_021399435
F5883DRAFT_124435,cur_B_accs,404.5,26,GCA_021399435
F5883DRAFT_646965,cur_M_accs,622.1,26,GCA_021399435
Asppvi_009818,cur_M_accs,596.0,26,GCA_018340605
Asppvi_009816,cur_G_accs,529.3,26,GCA_018340605
PCG10_003969,cur_C_accs,619.1,26,GCA_014621375
PCG10_003968,cur_B_accs,471.0,26,GCA_014621375
KXV19_005556,cur_G_accs,524.4,26,GCA_020503185
AnigIFM50267_006148,cur_C_accs,539.4,26,GCA_027923745
AnigIFM50267_003511,cur_C_accs,534.4,26,GCA_027923745
AnigIFM50267_003509,cur_M_accs,628.7,26,GCA_027923745
AnigIFM50267_006147,cur_G_accs,558.9,26,GCA_027923745
BO71DRAFT_456637,cur_C_accs,527.1,26,GCA_003184645
BO71DRAFT_329378,cur_B_accs,338.2,26,GCA_003184645
BO71DRAFT_456636,cur_M_accs,669.1,26,GCA_003184645
KXW78_004101,cur_M_accs,580.0,26,GCA_020502575
KXW78_005746,cur_G_accs,522.9,26,GCA_020502575
H634G_10080,cur_C_accs,497.9,26,GCA_000426965
H634G_10081,cur_B_accs,423.5,26,GCA_000426965
H634G_10082,cur_G_accs,552.7,26,GCA_000426965
H634G_08383,cur_G_accs,492.2,26,GCA_000426965
VFPPC_09603,cur_G_accs,467.1,26,GCA_001653235
E4U16_002008,cur_C_accs,496.1,26,GCA_018360345
E4U16_002009,cur_B_accs,387.1,26,GCA_018360345
E4U16_002006,cur_M_accs,659.1,26,GCA_018360345
LARI1_G001161,cur_G_accs,480.0,26,GCA_007821475
FlMFG217701_00011326,cur_G_accs,465.9,26,GCA_022180325
MMC17_004928,cur_G_accs,470.4,26,GCA_022813805
MMC09_005479,cur_C_accs,463.7,26,GCA_022814255
MMC09_005478,cur_B_accs,387.9,26,GCA_022814255
MMC09_005476,cur_M_accs,595.9,26,GCA_022814255
MMC09_004515,cur_G_accs,467.7,26,GCA_022814255
BP5796_10930,cur_G_accs,462.9,26,GCA_003369635
AU210_007837,cur_G_accs,465.0,26,GCA_001702695
F5B20DRAFT_561076,cur_C_accs,513.3,26,GCA_022497155
F5B20DRAFT_587788,cur_B_accs,403.7,26,GCA_022497155
F5B20DRAFT_569245,cur_M_accs,635.1,26,GCA_022497155
F5B20DRAFT_59986,cur_G_accs,471.1,26,GCA_022497155
GLRG_03419,cur_G_accs,466.8,26,GCA_000149035
E4U31_006082,cur_C_accs,496.2,26,GCA_018360595
E4U31_006081,cur_B_accs,372.4,26,GCA_018360595
E4U31_004083,cur_B_accs,354.1,26,GCA_018360595
E4U31_006084,cur_M_accs,643.0,26,GCA_018360595
KXW87_003405,cur_G_accs,524.3,26,GCA_020500945
E4U11_001783,cur_C_accs,494.6,26,GCA_018360535
E4U11_001782,cur_B_accs,377.1,26,GCA_018360535
E4U11_001785,cur_M_accs,659.2,26,GCA_018360535
TPAR_08120,cur_C_accs,488.6,26,GCA_002916505
TPAR_08121,cur_B_accs,416.8,26,GCA_002916505
TPAR_08124,cur_M_accs,651.9,26,GCA_002916505
TPAR_03746,cur_G_accs,505.5,26,GCA_002916505
E0Z10_g9562,cur_G_accs,467.9,26,GCA_004768795
GQ53DRAFT_637807,cur_C_accs,484.6,26,GCA_021432635
GQ53DRAFT_637206,cur_B_accs,392.9,26,GCA_021432635
GQ53DRAFT_884321,cur_G_accs,537.4,26,GCA_021432635
FCOIX_2122,cur_G_accs,463.5,26,GCA_013781345
NW767_002839,cur_G_accs,470.1,26,GCA_027945495
KXV46_009385,cur_G_accs,524.3,26,GCA_020500475
EDB80DRAFT_681564,cur_G_accs,473.2,26,GCA_020740775
ColTof3_08024,cur_G_accs,464.5,26,GCA_022836555
KXW23_002661,cur_M_accs,580.4,26,GCA_020503085
KXW23_002659,cur_G_accs,524.3,26,GCA_020503085
BO82DRAFT_275861,cur_C_accs,527.2,51,GCA_003184745
BO82DRAFT_290727,cur_B_accs,393.8,51,GCA_003184745
BO82DRAFT_425448,cur_M_accs,658.2,51,GCA_003184745
BO82DRAFT_402770,cur_G_accs,475.2,51,GCA_003184745
E4U61_006107,cur_C_accs,489.9,51,GCA_018360045
E4U61_006105,cur_M_accs,649.2,51,GCA_018360045
E4U59_004005,cur_C_accs,494.3,51,GCA_018360055
E4U59_004006,cur_B_accs,382.9,51,GCA_018360055
E4U59_004003,cur_M_accs,649.9,51,GCA_018360055
CNMCM7691_000048,cur_M_accs,594.3,51,GCA_014281915
CNMCM7691_000502,cur_M_accs,592.7,51,GCA_014281915
CNMCM7691_000047,cur_G_accs,528.1,51,GCA_014281915
CNMCM7691_009879,cur_G_accs,498.2,51,GCA_014281915
CBS147482_9288,cur_G_accs,640.8,51,GCA_023137895
CBS147482_985,cur_C_accs,534.4,51,GCA_023137895
CBS147482_986,cur_M_accs,673.7,51,GCA_023137895
HO133_002111,cur_G_accs,467.6,51,GCA_014066315
PHISCL_03299,cur_C_accs,554.4,51,GCA_003589665
PHISCL_03300,cur_G_accs,557.7,51,GCA_003589665
EAE96_006474,cur_G_accs,475.8,51,GCA_014898285
F4820DRAFT_239282,cur_G_accs,461.7,51,GCA_022578595
HYFRA_00003240,cur_G_accs,472.8,51,GCA_911649665
CNMCM8714_002103,cur_G_accs,524.3,51,GCA_012656185
ESCO_005799,cur_C_accs,485.9,51,GCA_001278495
ESCO_005798,cur_B_accs,385.7,51,GCA_001278495
ESCO_005024,cur_G_accs,466.6,51,GCA_001278495
ANOM_004116,cur_C_accs,558.0,51,GCA_001204775
ANOM_006464,cur_B_accs,419.4,51,GCA_001204775
ANOM_004117,cur_M_accs,730.0,51,GCA_001204775
ANOM_004115,cur_G_accs,572.3,51,GCA_001204775
ANOM_011570,cur_G_accs,467.2,51,GCA_001204775
ANOM_009669,cur_G_accs,461.2,51,GCA_001204775
E4U47_002569,cur_C_accs,492.5,51,GCA_018360855
E4U47_002568,cur_B_accs,386.0,51,GCA_018360855
E4U47_006749,cur_M_accs,660.0,51,GCA_018360855
KXX04_004729,cur_G_accs,522.9,51,GCA_020499865
BO94DRAFT_617645,cur_C_accs,537.4,51,GCA_003184525
BO94DRAFT_461844,cur_M_accs,652.0,51,GCA_003184525
BDV27DRAFT_143478,cur_G_accs,656.6,51,GCA_009193585
BDV27DRAFT_165996,cur_B_accs,433.2,51,GCA_009193585
BDV27DRAFT_155752,cur_M_accs,747.2,51,GCA_009193585
BDV27DRAFT_142001,cur_G_accs,514.3,51,GCA_009193585
BDV27DRAFT_142750,cur_G_accs,478.8,51,GCA_009193585
BDV27DRAFT_115866,cur_G_accs,462.0,51,GCA_009193585
CA14_009561,cur_C_accs,569.1,51,GCA_003709025
CA14_011228,cur_B_accs,443.8,51,GCA_003709025
CA14_009562,cur_M_accs,746.1,51,GCA_003709025
CA14_009560,cur_G_accs,582.2,51,GCA_003709025
CA14_012783,cur_G_accs,489.1,51,GCA_003709025
CA14_003211,cur_G_accs,488.4,51,GCA_003709025
PENFLA_c076G01507,cur_C_accs,618.9,51,GCA_002072365
PENFLA_c010G01063,cur_C_accs,553.2,51,GCA_002072365
PENFLA_c076G06912,cur_B_accs,471.7,51,GCA_002072365
PENFLA_c076G06777,cur_M_accs,806.3,51,GCA_002072365
PENFLA_c010G06962,cur_M_accs,665.8,51,GCA_002072365
PENFLA_c070G10369,cur_G_accs,630.6,51,GCA_002072365
BKA64DRAFT_562990,cur_G_accs,463.7,51,GCA_020747065
H9Q69_014054,cur_G_accs,463.4,51,GCA_018296325
CNYM01_13594,cur_G_accs,462.2,51,GCA_001563115
KXX50_001283,cur_M_accs,580.0,51,GCA_020498905
KXX50_001281,cur_G_accs,522.9,51,GCA_020498905
F4775DRAFT_598863,cur_M_accs,636.9,51,GCA_022544895
F4775DRAFT_542037,cur_G_accs,461.4,51,GCA_022544895
CNMCM8812_007827,cur_G_accs,524.3,51,GCA_012656165
BO70DRAFT_294203,cur_C_accs,534.7,51,GCA_003184545
BO70DRAFT_388120,cur_M_accs,657.6,51,GCA_003184545
KXX03_001453,cur_M_accs,580.0,51,GCA_020500355
KXX03_001455,cur_G_accs,524.4,51,GCA_020500355
BUE80_DR007271,cur_G_accs,460.9,51,GCA_002317995
NW759_006350,cur_G_accs,470.2,51,GCA_027945525
E4U32_002007,cur_C_accs,494.0,51,GCA_018360325
E4U32_002008,cur_B_accs,368.9,51,GCA_018360325
E4U32_003984,cur_B_accs,353.9,51,GCA_018360325
E4U32_002005,cur_M_accs,646.2,51,GCA_018360325
E4U15_002516,cur_C_accs,495.7,51,GCA_018360435
E4U15_002515,cur_B_accs,369.9,51,GCA_018360435
E4U15_004835,cur_B_accs,359.7,51,GCA_018360435
E4U15_002518,cur_M_accs,643.0,51,GCA_018360435
BO87DRAFT_459196,cur_C_accs,532.9,51,GCA_003184625
BO87DRAFT_313855,cur_C_accs,532.5,51,GCA_003184625
BO87DRAFT_401471,cur_B_accs,355.6,51,GCA_003184625
BO87DRAFT_308524,cur_M_accs,672.2,51,GCA_003184625
BO87DRAFT_313766,cur_M_accs,645.3,51,GCA_003184625
BO87DRAFT_313773,cur_G_accs,545.3,51,GCA_003184625
MW887_004808,cur_M_accs,619.3,51,GCA_026184555
DTO046C5_4661,cur_C_accs,571.3,51,GCA_023141155
DTO046C5_4660,cur_B_accs,405.9,51,GCA_023141155
DTO046C5_4659,cur_M_accs,704.4,51,GCA_023141155
DTO046C5_4658,cur_G_accs,558.7,51,GCA_023141155
EAF02_005556,cur_G_accs,473.9,51,GCA_014898435
KXX59_001943,cur_G_accs,524.3,51,GCA_020499475
CEP52_014532,cur_G_accs,470.4,69,GCA_003946995
KXX32_008782,cur_M_accs,580.0,69,GCA_020499035
KXX32_008784,cur_G_accs,524.4,69,GCA_020499035
T310_6449,cur_G_accs,465.4,69,GCA_000968595
ColTof4_00810,cur_G_accs,464.5,69,GCA_022836575
F4779DRAFT_580132,cur_G_accs,467.9,69,GCA_022376535
BELL_0641g00010,cur_G_accs,473.5,69,GCA_004786205
F4804DRAFT_306203,cur_G_accs,465.2,69,GCA_022578535
CDV56_105272,cur_M_accs,596.1,69,GCA_002237265
CDV56_106347,cur_M_accs,583.1,69,GCA_002237265
CDV56_105107,cur_G_accs,495.8,69,GCA_002237265
FocnCong_v006876,cur_G_accs,465.0,69,GCA_018894095
KXW25_005523,cur_G_accs,522.4,69,GCA_020502165
FSARC_14424,cur_G_accs,469.0,69,GCA_013266185
KXX02_002205,cur_M_accs,580.4,69,GCA_020502985
KXX02_002203,cur_G_accs,524.4,69,GCA_020502985
BBP40_009884,cur_M_accs,588.6,69,GCA_001696595
NW759_006350,cur_G_accs,470.2,69,GCA_027945525
KXV26_001782,cur_M_accs,580.6,69,GCA_020500865
KXV26_001780,cur_G_accs,524.3,69,GCA_020500865
KD926_006293,cur_C_accs,539.9,69,GCA_023601865
KD926_004106,cur_C_accs,527.2,69,GCA_023601865
KD926_004107,cur_M_accs,644.3,69,GCA_023601865
KD926_006294,cur_G_accs,518.4,69,GCA_023601865
KXW74_003122,cur_G_accs,524.3,69,GCA_020503195
FSPOR_2743,cur_G_accs,466.8,69,GCA_003012315
FEQUK3_LOCUS5089,cur_G_accs,467.9,69,GCA_910393935
KXV65_008901,cur_M_accs,580.0,69,GCA_020500285
KXV65_008899,cur_G_accs,524.4,69,GCA_020500285
CBS147372_9317,cur_C_accs,565.3,87,GCA_023091085
CBS147372_9318,cur_B_accs,404.9,87,GCA_023091085
CBS147372_9319,cur_M_accs,704.4,87,GCA_023091085
CBS147372_9320,cur_G_accs,558.7,87,GCA_023091085
L249_4538,cur_C_accs,475.8,87,GCA_001633055
L249_4540,cur_B_accs,418.4,87,GCA_001633055
L249_4529,cur_M_accs,611.0,87,GCA_001633055
CNMCM8694_005933,cur_M_accs,582.3,87,GCA_012656375
CNMCM8694_005934,cur_G_accs,513.5,87,GCA_012656375
CNMCM8694_000974,cur_G_accs,479.3,87,GCA_012656375
DTO012A1_662,cur_C_accs,571.3,87,GCA_023065685
DTO012A1_661,cur_B_accs,405.9,87,GCA_023065685
DTO012A1_660,cur_M_accs,703.5,87,GCA_023065685
DTO012A1_659,cur_G_accs,558.7,87,GCA_023065685
E4U58_007321,cur_C_accs,496.3,87,GCA_018360075
E4U58_007322,cur_B_accs,366.5,87,GCA_018360075
E4U58_007320,cur_M_accs,658.4,87,GCA_018360075
BO85DRAFT_461841,cur_G_accs,651.7,87,GCA_003184755
BO85DRAFT_304121,cur_C_accs,533.6,87,GCA_003184755
BO85DRAFT_515986,cur_B_accs,351.2,87,GCA_003184755
BO85DRAFT_438617,cur_B_accs,328.3,87,GCA_003184755
BO85DRAFT_372629,cur_M_accs,674.4,87,GCA_003184755
DL767_000117,cur_C_accs,450.6,87,GCA_004155925
DL767_000118,cur_B_accs,414.1,87,GCA_004155925
E4U59_004005,cur_C_accs,494.3,87,GCA_018360055
E4U59_004006,cur_B_accs,382.9,87,GCA_018360055
E4U59_004003,cur_M_accs,649.9,87,GCA_018360055
EDB82DRAFT_542933,cur_G_accs,466.3,87,GCA_020744135
CBS147355_696,cur_C_accs,565.3,87,GCA_023065415
CBS147355_695,cur_B_accs,404.9,87,GCA_023065415
CBS147355_694,cur_M_accs,704.4,87,GCA_023065415
CBS147355_693,cur_G_accs,558.7,87,GCA_023065415
BO79DRAFT_231995,cur_G_accs,651.7,87,GCA_003184835
BO79DRAFT_273526,cur_C_accs,531.3,87,GCA_003184835
BO79DRAFT_273529,cur_M_accs,672.2,87,GCA_003184835
BO79DRAFT_157176,cur_M_accs,641.3,87,GCA_003184835
E4U39_003818,cur_C_accs,496.6,87,GCA_018360525
E4U39_003817,cur_B_accs,387.3,87,GCA_018360525
E4U39_003820,cur_M_accs,658.0,87,GCA_018360525
IFR04_003208,cur_G_accs,464.7,87,GCA_017365405
TPAR_08120,cur_C_accs,488.6,87,GCA_002916505
TPAR_08121,cur_B_accs,416.8,87,GCA_002916505
TPAR_08124,cur_M_accs,651.9,87,GCA_002916505
TPAR_03746,cur_G_accs,505.5,87,GCA_002916505
GB937_008391,cur_M_accs,586.3,87,GCA_016748045
GB937_008359,cur_G_accs,524.2,87,GCA_016748045
BO99DRAFT_395120,cur_C_accs,530.7,87,GCA_003184705
BO99DRAFT_445585,cur_B_accs,397.3,87,GCA_003184705
BO99DRAFT_450685,cur_M_accs,658.2,87,GCA_003184705
CJF32_00009207,cur_G_accs,472.8,87,GCA_002946385
X797_008107,cur_C_accs,495.1,87,GCA_000591435
X797_008108,cur_B_accs,425.1,87,GCA_000591435
X797_008105,cur_M_accs,652.7,87,GCA_000591435
X797_008109,cur_G_accs,552.8,87,GCA_000591435
X797_011255,cur_G_accs,493.8,87,GCA_000591435
E4U36_008021,cur_C_accs,494.6,87,GCA_018360725
E4U36_008022,cur_B_accs,386.7,87,GCA_018360725
E4U36_008019,cur_M_accs,659.2,87,GCA_018360725
ASPACDRAFT_58711,cur_C_accs,529.3,87,GCA_001890905
ASPACDRAFT_60409,cur_B_accs,381.2,87,GCA_001890905
ASPACDRAFT_41215,cur_B_accs,329.0,87,GCA_001890905
ASPACDRAFT_50957,cur_M_accs,609.6,87,GCA_001890905
BO94DRAFT_617645,cur_C_accs,537.4,87,GCA_003184525
BO94DRAFT_461844,cur_M_accs,652.0,87,GCA_003184525
F5Y10DRAFT_288434,cur_C_accs,479.4,87,GCA_022578505
F5Y10DRAFT_288437,cur_B_accs,396.0,87,GCA_022578505
F5Y10DRAFT_256224,cur_M_accs,619.8,87,GCA_022578505
F5Y10DRAFT_288438,cur_G_accs,536.2,87,GCA_022578505
F5Y10DRAFT_254643,cur_G_accs,468.9,87,GCA_022578505
E4U10_003522,cur_C_accs,492.9,87,GCA_018360765
E4U10_003521,cur_B_accs,382.5,87,GCA_018360765
E4U10_003524,cur_M_accs,660.4,87,GCA_018360765
MMC13_006452,cur_C_accs,458.1,87,GCA_022814265
MMC13_006450,cur_M_accs,648.3,87,GCA_022814265
MMC13_003048,cur_G_accs,473.3,87,GCA_022814265
CBS147311_2561,cur_C_accs,571.3,87,GCA_023141205
CBS147311_2560,cur_B_accs,404.8,87,GCA_023141205
CBS147311_2559,cur_M_accs,704.4,87,GCA_023141205
CBS147311_2558,cur_G_accs,558.7,87,GCA_023141205
PENFLA_c076G01507,cur_C_accs,618.9,87,GCA_002072365
PENFLA_c010G01063,cur_C_accs,553.2,87,GCA_002072365
PENFLA_c076G06912,cur_B_accs,471.7,87,GCA_002072365
PENFLA_c076G06777,cur_M_accs,806.3,87,GCA_002072365
PENFLA_c010G06962,cur_M_accs,665.8,87,GCA_002072365
PENFLA_c070G10369,cur_G_accs,630.6,87,GCA_002072365
BO70DRAFT_294203,cur_C_accs,534.7,87,GCA_003184545
BO70DRAFT_388120,cur_M_accs,657.6,87,GCA_003184545
MAJ_09305,cur_C_accs,495.0,87,GCA_000814945
MAJ_09306,cur_B_accs,422.9,87,GCA_000814945
MAJ_09307,cur_G_accs,550.9,87,GCA_000814945
MAJ_08907,cur_G_accs,491.7,87,GCA_000814945
E4U27_004859,cur_C_accs,493.9,87,GCA_018360745
E4U27_004857,cur_M_accs,659.3,87,GCA_018360745
COH21_006684,cur_C_accs,564.7,87,GCA_002443215
COH21_011639,cur_B_accs,443.8,87,GCA_002443215
COH21_006683,cur_M_accs,746.1,87,GCA_002443215
COH21_006685,cur_G_accs,587.2,87,GCA_002443215
COH21_007416,cur_G_accs,488.4,87,GCA_002443215
COH21_000372,cur_G_accs,486.6,87,GCA_002443215
E4U41_001904,cur_C_accs,488.1,87,GCA_018360365
E4U41_001905,cur_B_accs,331.6,87,GCA_018360365
E4U41_000303,cur_M_accs,671.6,87,GCA_018360365
E4U41_001906,cur_G_accs,539.1,87,GCA_018360365
VD0003_g2975,cur_G_accs,465.4,87,GCA_002893025
KXX11_000665,cur_M_accs,580.6,87,GCA_020498755
KXX11_000663,cur_G_accs,524.3,87,GCA_020498755
F9C07_9323,cur_C_accs,569.1,87,GCA_009017415
F9C07_5878,cur_B_accs,443.8,87,GCA_009017415
F9C07_1723127,cur_M_accs,766.4,87,GCA_009017415
F9C07_4242,cur_G_accs,487.7,87,GCA_009017415
F9C07_8749,cur_G_accs,484.5,87,GCA_009017415
BDV33DRAFT_190037,cur_G_accs,662.1,87,GCA_009176405
BDV33DRAFT_203930,cur_B_accs,438.2,87,GCA_009176405
BDV33DRAFT_190036,cur_M_accs,745.3,87,GCA_009176405
BDV33DRAFT_200480,cur_G_accs,525.8,87,GCA_009176405
BDV33DRAFT_50944,cur_G_accs,487.7,87,GCA_009176405
ASPCADRAFT_394399,cur_C_accs,530.4,87,GCA_001990825
ASPCADRAFT_41607,cur_M_accs,603.0,87,GCA_001990825
ASPCADRAFT_401731,cur_G_accs,461.8,87,GCA_001990825
CP532_3108,cur_C_accs,481.7,87,GCA_003339455
CP532_3092,cur_B_accs,419.1,87,GCA_003339455
CP532_3105,cur_M_accs,631.9,87,GCA_003339455
H634G_10080,cur_C_accs,497.9,87,GCA_000426965
H634G_10081,cur_B_accs,423.5,87,GCA_000426965
H634G_10082,cur_G_accs,552.7,87,GCA_000426965
H634G_08383,cur_G_accs,492.2,87,GCA_000426965
MMC30_000465,cur_C_accs,456.0,87,GCA_022813945
MMC30_000466,cur_B_accs,402.1,87,GCA_022813945
MMC30_000467,cur_M_accs,666.9,87,GCA_022813945
AOCH_003353,cur_C_accs,484.5,87,GCA_000986665
AOCH_003355,cur_M_accs,651.3,87,GCA_000986665
KXW95_009304,cur_M_accs,580.0,87,GCA_020499695
KXW95_009306,cur_G_accs,522.9,87,GCA_020499695
DTO027I6_5577,cur_C_accs,571.3,87,GCA_023141165
