,bgc,min.cosine,genome,BiG-SLiCE class
83,lichen_102.scaffold_275.region001,0.112143993,lichen_102,class-NRP
84,lichen_102.scaffold_350.region001,0.053135847,lichen_102,class-Polyketide
85,lichen_102.scaffold_37.region001,0.023193215,lichen_102,class-Polyketide
86,lichen_102.scaffold_496.region001,0.016201844,lichen_102,class-NRP
87,lichen_102.scaffold_92.region001,0.175378875,lichen_102,class-Terpene
88,lichen_103.c00073_NODE_73...region001,0.068411495,lichen_103,class-NRP
89,lichen_104.scaffold_1.region001,0.005063324,lichen_104,class-NRP
90,lichen_104.scaffold_107.region001,0.038327526,lichen_104,class-Polyketide
91,lichen_104.scaffold_108.region001,0.014761827,lichen_104,class-Polyketide
92,lichen_104.scaffold_135.region001,0.020533881,lichen_104,class-Polyketide
93,lichen_104.scaffold_138.region001,0.052705465,lichen_104,class-Polyketide
94,lichen_104.scaffold_14.region001,0.019875275,lichen_104,class-Polyketide
95,lichen_104.scaffold_16.region001,0.02044841,lichen_104,class-Polyketide
96,lichen_104.scaffold_196.region001,0.011025995,lichen_104,class-NRP
97,lichen_104.scaffold_213.region001,0.109837834,lichen_104,class-NRP
98,lichen_104.scaffold_241.region001,0.05281103,lichen_104,class-Polyketide
99,lichen_104.scaffold_243.region001,0.058468926,lichen_104,class-Polyketide
100,lichen_104.scaffold_269.region001,0.03960396,lichen_104,class-NRP
101,lichen_104.scaffold_27.region001,0.014699023,lichen_104,class-NRP
102,lichen_104.scaffold_3.region001,0.018677204,lichen_104,class-NRP
103,lichen_104.scaffold_306.region001,0.002114165,lichen_104,class-Polyketide
104,lichen_104.scaffold_31.region001,0.006689038,lichen_104,class-NRP
105,lichen_104.scaffold_311.region001,0.06271777,lichen_104,class-Polyketide
106,lichen_104.scaffold_319.region001,0.01372549,lichen_104,class-Polyketide
107,lichen_104.scaffold_344.region001,0.042957707,lichen_104,class-Polyketide
108,lichen_104.scaffold_355.region001,0.032950267,lichen_104,class-NRP
109,lichen_104.scaffold_37.region001,0.049953575,lichen_104,class-Polyketide
110,lichen_104.scaffold_376.region001,0.02173913,lichen_104,class-Other
111,lichen_104.scaffold_38.region001,0.013328258,lichen_104,class-NRP
112,lichen_104.scaffold_40.region001,0.035178195,lichen_104,class-Polyketide
113,lichen_104.scaffold_401.region001,0.075693124,lichen_104,class-Polyketide
114,lichen_104.scaffold_46.region001,0.133459258,lichen_104,class-NRP
115,lichen_104.scaffold_47.region001,0.095514851,lichen_104,class-Polyketide
116,lichen_104.scaffold_497.region001,0.039178938,lichen_104,class-Polyketide
117,lichen_104.scaffold_515.region001,0.012739374,lichen_104,class-NRP
118,lichen_104.scaffold_593.region001,0.034359822,lichen_104,class-NRP
119,lichen_104.scaffold_643.region001,0.0,lichen_104,class-NRP
120,lichen_104.scaffold_65.region001,0.168316832,lichen_104,class-Polyketide
121,lichen_104.scaffold_663.region001,0.032237924,lichen_104,class-NRP
122,lichen_104.scaffold_726.region001,0.043478261,lichen_104,class-NRP
123,lichen_104.scaffold_98.region001,0.041039408,lichen_104,class-Polyketide
124,lichen_105.scaffold_122.region001,0.05686116,lichen_105,class-Polyketide
125,lichen_105.scaffold_14.region001,0.087476558,lichen_105,class-Polyketide
126,lichen_105.scaffold_150.region001,0.032915361,lichen_105,class-Polyketide
127,lichen_105.scaffold_152.region001,0.025913796,lichen_105,class-Polyketide
128,lichen_105.scaffold_20.region001,0.041509359,lichen_105,class-Polyketide
129,lichen_105.scaffold_216.region001,0.021551724,lichen_105,class-Polyketide
130,lichen_105.scaffold_22.region001,0.042625764,lichen_105,class-Polyketide
131,lichen_105.scaffold_222.region001,0.02016129,lichen_105,class-Polyketide
132,lichen_105.scaffold_225.region001,0.015929204,lichen_105,class-Polyketide
133,lichen_105.scaffold_258.region001,0.010775862,lichen_105,class-Polyketide
134,lichen_105.scaffold_27.region001,0.010906032,lichen_105,class-NRP
135,lichen_105.scaffold_300.region001,0.005934274,lichen_105,class-NRP
136,lichen_105.scaffold_309.region001,0.062890473,lichen_105,class-Polyketide
137,lichen_105.scaffold_32.region001,0.066300438,lichen_105,class-NRP
138,lichen_105.scaffold_375.region001,0.005934274,lichen_105,class-NRP
139,lichen_105.scaffold_427.region001,0.0,lichen_105,class-NRP
140,lichen_105.scaffold_52.region001,0.051830132,lichen_105,class-Polyketide
141,lichen_105.scaffold_53.region001,0.028475712,lichen_105,class-Polyketide
142,lichen_105.scaffold_534.region001,0.030852995,lichen_105,class-Polyketide
143,lichen_105.scaffold_624.region001,0.190598608,lichen_105,class-Polyketide
144,lichen_105.scaffold_63.region001,0.18806746,lichen_105,class-NRP
145,lichen_105.scaffold_736.region001,0.032967033,lichen_105,class-Polyketide
146,lichen_105.scaffold_74.region001,0.036619468,lichen_105,class-Polyketide
147,lichen_105.scaffold_871.region001,0.102401713,lichen_105,class-NRP
148,lichen_105.scaffold_922.region001,0.024313729,lichen_105,class-NRP
149,lichen_105.scaffold_940.region001,0.080483847,lichen_105,class-NRP
150,lichen_105.scaffold_96.region001,0.026412599,lichen_105,class-Polyketide
151,lichen_106.scaffold_1142.region001,0.028405111,lichen_106,class-Polyketide
152,lichen_106.scaffold_1168.region001,0.033333333,lichen_106,class-RiPP
153,lichen_106.scaffold_1241.region001,0.0,lichen_106,class-Terpene
154,lichen_106.scaffold_1406.region001,0.063670822,lichen_106,class-Terpene
155,lichen_106.scaffold_170.region001,0.05449746,lichen_106,class-Polyketide
156,lichen_106.scaffold_19.region001,0.029962509,lichen_106,class-NRP
157,lichen_106.scaffold_233.region001,0.0,lichen_106,class-Polyketide
158,lichen_106.scaffold_274.region001,0.0,lichen_106,class-NRP
159,lichen_106.scaffold_326.region001,0.0,lichen_106,class-Terpene
160,lichen_106.scaffold_363.region001,0.0,lichen_106,class-NRP
161,lichen_106.scaffold_374.region001,0.0,lichen_106,class-NRP
162,lichen_106.scaffold_375.region001,0.017805304,lichen_106,class-Polyketide
163,lichen_106.scaffold_387.region001,0.0,lichen_106,class-Other
164,lichen_106.scaffold_48.region001,0.085470812,lichen_106,class-Terpene
165,lichen_106.scaffold_539.region001,0.012719097,lichen_106,class-Polyketide
166,lichen_106.scaffold_641.region001,0.0,lichen_106,class-NRP
167,lichen_106.scaffold_669.region001,1.11e-16,lichen_106,class-Polyketide
168,lichen_106.scaffold_728.region001,2.22e-16,lichen_106,class-Polyketide
169,lichen_106.scaffold_776.region001,0.003252033,lichen_106,class-Polyketide
170,lichen_107.scaffold_1.region001,0.049460946,lichen_107,class-NRP
171,lichen_107.scaffold_1081.region001,0.024617023,lichen_107,class-Polyketide
172,lichen_107.scaffold_11.region001,0.018677204,lichen_107,class-NRP
173,lichen_107.scaffold_127.region001,0.040590406,lichen_107,class-Polyketide
174,lichen_107.scaffold_13.region001,0.041860051,lichen_107,class-Polyketide
175,lichen_107.scaffold_1312.region001,0.044964119,lichen_107,class-NRP
176,lichen_107.scaffold_1333.region001,0.015686275,lichen_107,class-Polyketide
177,lichen_107.scaffold_1359.region001,0.02173913,lichen_107,class-NRP
178,lichen_107.scaffold_1380.region001,0.194723768,lichen_107,class-Polyketide
179,lichen_107.scaffold_1406.region001,0.043478261,lichen_107,class-NRP
180,lichen_107.scaffold_1416.region001,0.0,lichen_107,class-NRP
181,lichen_107.scaffold_1505.region001,0.026932734,lichen_107,class-NRP
182,lichen_107.scaffold_16.region001,0.048472068,lichen_107,class-NRP
183,lichen_107.scaffold_160.region001,0.014699023,lichen_107,class-NRP
184,lichen_107.scaffold_181.region001,0.01734104,lichen_107,class-Polyketide
185,lichen_107.scaffold_245.region001,0.01620052,lichen_107,class-Polyketide
186,lichen_107.scaffold_259.region001,0.081718307,lichen_107,class-Polyketide
187,lichen_107.scaffold_272.region001,0.041039408,lichen_107,class-Polyketide
188,lichen_107.scaffold_30.region001,0.118734312,lichen_107,class-NRP
189,lichen_107.scaffold_323.region001,0.023065127,lichen_107,class-Polyketide
190,lichen_107.scaffold_333.region001,0.055970302,lichen_107,class-Polyketide
191,lichen_107.scaffold_348.region001,0.002114165,lichen_107,class-Polyketide
192,lichen_107.scaffold_360.region001,0.040586236,lichen_107,class-Polyketide
193,lichen_107.scaffold_361.region001,0.041034293,lichen_107,class-Polyketide
194,lichen_107.scaffold_368.region001,0.021163811,lichen_107,class-Polyketide
195,lichen_107.scaffold_4.region001,0.005063324,lichen_107,class-NRP
196,lichen_107.scaffold_458.region001,0.129242294,lichen_107,class-NRP
197,lichen_107.scaffold_481.region001,0.022864061,lichen_107,class-Polyketide
198,lichen_107.scaffold_510.region001,0.12031033,lichen_107,class-NRP
199,lichen_107.scaffold_58.region001,0.121339863,lichen_107,class-Polyketide
200,lichen_107.scaffold_593.region001,0.05634153,lichen_107,class-Polyketide
201,lichen_107.scaffold_594.region001,0.150250431,lichen_107,class-Polyketide
202,lichen_107.scaffold_613.region001,0.078791716,lichen_107,class-Polyketide
203,lichen_107.scaffold_619.region001,0.06271777,lichen_107,class-Polyketide
204,lichen_107.scaffold_62.region001,0.016927531,lichen_107,class-Polyketide
205,lichen_107.scaffold_650.region001,0.10483871,lichen_107,class-Polyketide
206,lichen_107.scaffold_670.region001,0.0,lichen_107,class-NRP
207,lichen_107.scaffold_673.region001,0.03960396,lichen_107,class-NRP
208,lichen_107.scaffold_74.region001,0.057214324,lichen_107,class-Polyketide
209,lichen_107.scaffold_753.region001,0.059460057,lichen_107,class-NRP
210,lichen_107.scaffold_774.region001,0.0,lichen_107,class-Terpene
211,lichen_107.scaffold_79.region001,0.014761827,lichen_107,class-Polyketide
212,lichen_107.scaffold_799.region001,0.043478261,lichen_107,class-Other
213,lichen_107.scaffold_8.region001,0.042868354,lichen_107,class-Polyketide
214,lichen_107.scaffold_87.region001,0.031989141,lichen_107,class-Polyketide
215,lichen_107.scaffold_888.region001,0.038461538,lichen_107,class-NRP
216,lichen_107.scaffold_9.region001,0.032460961,lichen_107,class-Polyketide
217,lichen_107.scaffold_91.region001,0.047507915,lichen_107,class-Polyketide
218,lichen_108.c00002_NODE_2_...region001,0.035660414,lichen_108,class-Polyketide
219,lichen_108.c00004_NODE_4_...region001,0.006269654,lichen_108,class-NRP
220,lichen_108.c00009_NODE_9_...region001,0.053586282,lichen_108,class-Polyketide
221,lichen_108.c00025_NODE_25...region001,0.068553516,lichen_108,class-Polyketide
222,lichen_108.c00077_NODE_77...region001,0.02173913,lichen_108,class-NRP
223,lichen_108.c00139_NODE_13...region001,0.006305595,lichen_108,class-NRP
224,lichen_11.scaffold_1.region001,0.010471493,lichen_11,class-NRP
225,lichen_11.scaffold_1053.region001,0.263506238,lichen_11,class-NRP
226,lichen_11.scaffold_1056.region001,0.0,lichen_11,class-NRP
227,lichen_11.scaffold_1099.region001,0.0,lichen_11,class-Terpene
228,lichen_11.scaffold_111.region001,0.256555151,lichen_11,class-NRP
229,lichen_11.scaffold_121.region001,0.04643609,lichen_11,class-Polyketide
230,lichen_11.scaffold_1253.region001,0.099083377,lichen_11,class-Polyketide
231,lichen_11.scaffold_1279.region001,0.210540349,lichen_11,class-NRP
232,lichen_11.scaffold_1338.region001,0.076715795,lichen_11,class-NRP
233,lichen_11.scaffold_135.region001,0.027599776,lichen_11,class-Polyketide
234,lichen_11.scaffold_1363.region001,0.115515447,lichen_11,class-Terpene
235,lichen_11.scaffold_1578.region001,0.054421769,lichen_11,class-NRP
236,lichen_11.scaffold_1588.region001,0.034520519,lichen_11,class-Polyketide
237,lichen_11.scaffold_1629.region001,0.035020375,lichen_11,class-Polyketide
238,lichen_11.scaffold_1675.region001,0.078726906,lichen_11,class-Polyketide
239,lichen_11.scaffold_1712.region001,0.045593855,lichen_11,class-NRP
240,lichen_11.scaffold_1840.region001,0.063692353,lichen_11,class-Polyketide
241,lichen_11.scaffold_1900.region001,0.0,lichen_11,class-Other
242,lichen_11.scaffold_192.region001,0.076923077,lichen_11,class-NRP
243,lichen_11.scaffold_203.region001,0.016933463,lichen_11,class-NRP
244,lichen_11.scaffold_206.region001,0.005633848,lichen_11,class-NRP
245,lichen_11.scaffold_2064.region001,0.020833333,lichen_11,class-Polyketide
246,lichen_11.scaffold_2129.region001,0.0325,lichen_11,class-Polyketide
247,lichen_11.scaffold_2170.region001,0.024507358,lichen_11,class-Polyketide
248,lichen_11.scaffold_2182.region001,0.043478261,lichen_11,class-NRP
249,lichen_11.scaffold_2254.region001,0.102269281,lichen_11,class-NRP
250,lichen_11.scaffold_2423.region001,0.02173913,lichen_11,class-NRP
251,lichen_11.scaffold_2452.region001,0.014644351,lichen_11,class-Polyketide
252,lichen_11.scaffold_2485.region001,0.113832267,lichen_11,class-NRP
253,lichen_11.scaffold_251.region001,0.014519056,lichen_11,class-Polyketide
254,lichen_11.scaffold_26.region001,0.042265926,lichen_11,class-NRP
255,lichen_11.scaffold_292.region001,0.00212766,lichen_11,class-Polyketide
256,lichen_11.scaffold_303.region001,0.021194605,lichen_11,class-Polyketide
257,lichen_11.scaffold_430.region001,0.0372965,lichen_11,class-Polyketide
258,lichen_11.scaffold_5.region001,0.058470962,lichen_11,class-Polyketide
259,lichen_11.scaffold_610.region001,0.060680972,lichen_11,class-NRP
260,lichen_11.scaffold_630.region001,0.01622614,lichen_11,class-Polyketide
261,lichen_11.scaffold_697.region001,0.020533881,lichen_11,class-Polyketide
262,lichen_11.scaffold_712.region001,0.027662261,lichen_11,class-Polyketide
263,lichen_11.scaffold_726.region001,0.082035091,lichen_11,class-NRP
264,lichen_11.scaffold_741.region001,0.018163786,lichen_11,class-NRP
265,lichen_11.scaffold_756.region001,0.059460057,lichen_11,class-NRP
266,lichen_11.scaffold_780.region001,0.006779739,lichen_11,class-NRP
267,lichen_11.scaffold_795.region001,0.02016129,lichen_11,class-Polyketide
268,lichen_11.scaffold_81.region001,0.033465582,lichen_11,class-Polyketide
269,lichen_11.scaffold_821.region001,0.034305317,lichen_11,class-Polyketide
270,lichen_11.scaffold_868.region001,0.0,lichen_11,class-NRP
271,lichen_11.scaffold_880.region001,0.054111062,lichen_11,class-Polyketide
272,lichen_110.scaffold_11.region001,0.020072419,lichen_110,class-NRP
273,lichen_110.scaffold_12.region001,0.032168291,lichen_110,class-Polyketide
274,lichen_110.scaffold_124.region001,0.037755643,lichen_110,class-Polyketide
275,lichen_110.scaffold_128.region001,0.034146341,lichen_110,class-Polyketide
276,lichen_110.scaffold_129.region001,0.023193215,lichen_110,class-Polyketide
277,lichen_110.scaffold_13.region001,0.015528455,lichen_110,class-NRP
278,lichen_110.scaffold_131.region001,0.039161618,lichen_110,class-Polyketide
279,lichen_110.scaffold_144.region001,0.0,lichen_110,class-NRP
280,lichen_110.scaffold_15.region001,0.053442288,lichen_110,class-Polyketide
281,lichen_110.scaffold_186.region001,0.0,lichen_110,class-NRP
282,lichen_110.scaffold_187.region001,0.012931034,lichen_110,class-Polyketide
283,lichen_110.scaffold_192.region001,0.039567708,lichen_110,class-NRP
284,lichen_110.scaffold_2.region001,0.011111111,lichen_110,class-NRP
285,lichen_110.scaffold_23.region001,0.034303675,lichen_110,class-Polyketide
286,lichen_110.scaffold_253.region001,0.034263227,lichen_110,class-NRP
287,lichen_110.scaffold_270.region001,0.004237307,lichen_110,class-Polyketide
288,lichen_110.scaffold_319.region001,0.153402418,lichen_110,class-Polyketide
289,lichen_110.scaffold_40.region001,0.045979673,lichen_110,class-Polyketide
290,lichen_110.scaffold_462.region001,0.079446992,lichen_110,class-NRP
291,lichen_110.scaffold_5.region001,0.014118356,lichen_110,class-NRP
292,lichen_110.scaffold_61.region001,0.061427381,lichen_110,class-NRP
293,lichen_110.scaffold_62.region001,0.024794538,lichen_110,class-Polyketide
294,lichen_110.scaffold_63.region001,0.046809775,lichen_110,class-Polyketide
295,lichen_110.scaffold_642.region001,0.0,lichen_110,class-NRP
296,lichen_110.scaffold_77.region001,0.005221968,lichen_110,class-NRP
297,lichen_110.scaffold_79.region001,0.005198419,lichen_110,class-NRP
298,lichen_110.scaffold_86.region001,0.055540311,lichen_110,class-Polyketide
299,lichen_110.scaffold_9.region001,0.030407975,lichen_110,class-NRP
300,lichen_110.scaffold_93.region001,0.164995089,lichen_110,class-Terpene
301,lichen_112.scaffold_1.region001,0.065797069,lichen_112,class-NRP
302,lichen_112.scaffold_1035.region001,0.060147629,lichen_112,class-Polyketide
303,lichen_112.scaffold_1078.region001,0.054439793,lichen_112,class-NRP
304,lichen_112.scaffold_11.region001,0.02765513,lichen_112,class-NRP
305,lichen_112.scaffold_1175.region001,0.057971014,lichen_112,class-NRP
306,lichen_112.scaffold_1182.region001,0.013153021,lichen_112,class-NRP
307,lichen_112.scaffold_12.region001,0.040583874,lichen_112,class-NRP
308,lichen_112.scaffold_1231.region001,0.178110708,lichen_112,class-NRP
309,lichen_112.scaffold_1438.region001,0.025462963,lichen_112,class-Polyketide
310,lichen_112.scaffold_1579.region001,0.0,lichen_112,class-NRP
311,lichen_112.scaffold_185.region001,0.0,lichen_112,class-NRP
312,lichen_112.scaffold_24.region001,0.197130893,lichen_112,class-NRP
313,lichen_112.scaffold_29.region001,0.048091899,lichen_112,class-Polyketide
314,lichen_112.scaffold_3.region001,0.0,lichen_112,class-NRP
315,lichen_112.scaffold_330.region001,0.021775544,lichen_112,class-Polyketide
316,lichen_112.scaffold_334.region001,0.012543052,lichen_112,class-NRP
317,lichen_112.scaffold_355.region001,0.015414258,lichen_112,class-Polyketide
318,lichen_112.scaffold_36.region001,0.006305595,lichen_112,class-NRP
319,lichen_112.scaffold_368.region001,1.11e-16,lichen_112,class-NRP
320,lichen_112.scaffold_4.region001,0.025536131,lichen_112,class-NRP
321,lichen_112.scaffold_409.region001,0.022544119,lichen_112,class-Polyketide
322,lichen_112.scaffold_432.region001,0.038416829,lichen_112,class-Polyketide
323,lichen_112.scaffold_489.region001,0.01734104,lichen_112,class-Polyketide
324,lichen_112.scaffold_5.region001,0.13740458,lichen_112,class-NRP
325,lichen_112.scaffold_522.region001,0.044830052,lichen_112,class-Polyketide
326,lichen_112.scaffold_532.region001,0.011382657,lichen_112,class-Polyketide
327,lichen_112.scaffold_6.region001,0.122941981,lichen_112,class-NRP
328,lichen_112.scaffold_740.region001,0.044871795,lichen_112,class-NRP
329,lichen_112.scaffold_745.region001,0.031111111,lichen_112,class-Polyketide
330,lichen_112.scaffold_869.region001,0.0,lichen_112,class-NRP
331,lichen_112.scaffold_906.region001,0.0,lichen_112,class-Terpene
332,lichen_113.scaffold_1014.region001,0.033333333,lichen_113,class-Polyketide
333,lichen_113.scaffold_1080.region001,0.133404655,lichen_113,class-NRP
334,lichen_113.scaffold_113.region001,0.249798329,lichen_113,class-NRP
335,lichen_113.scaffold_1198.region001,0.01980198,lichen_113,class-Terpene
336,lichen_113.scaffold_12.region001,0.009216787,lichen_113,class-NRP
337,lichen_113.scaffold_121.region001,0.0,lichen_113,class-NRP
338,lichen_113.scaffold_1211.region001,0.014492754,lichen_113,class-NRP
339,lichen_113.scaffold_126.region001,0.037521786,lichen_113,class-Polyketide
340,lichen_113.scaffold_1295.region001,0.028472288,lichen_113,class-Other
341,lichen_113.scaffold_137.region001,0.073880155,lichen_113,class-Polyketide
342,lichen_113.scaffold_1375.region001,0.262790219,lichen_113,class-Terpene
343,lichen_113.scaffold_14.region001,0.022556391,lichen_113,class-NRP
344,lichen_113.scaffold_1441.region001,0.0,lichen_113,class-NRP
345,lichen_113.scaffold_151.region001,0.065548706,lichen_113,class-NRP
346,lichen_113.scaffold_165.region001,0.23410694,lichen_113,class-NRP
347,lichen_113.scaffold_169.region001,0.195602186,lichen_113,class-NRP
348,lichen_113.scaffold_171.region001,0.053350396,lichen_113,class-Polyketide
349,lichen_113.scaffold_18.region001,0.030102829,lichen_113,class-NRP
350,lichen_113.scaffold_2.region001,0.090567392,lichen_113,class-NRP
351,lichen_113.scaffold_22.region001,0.087258324,lichen_113,class-Polyketide
352,lichen_113.scaffold_226.region001,0.027997183,lichen_113,class-Polyketide
353,lichen_113.scaffold_233.region001,0.092921889,lichen_113,class-Polyketide
354,lichen_113.scaffold_3.region001,0.073715856,lichen_113,class-Polyketide
355,lichen_113.scaffold_30.region001,0.039750172,lichen_113,class-Polyketide
356,lichen_113.scaffold_367.region001,0.017241379,lichen_113,class-Polyketide
357,lichen_113.scaffold_388.region001,0.017172317,lichen_113,class-Polyketide
358,lichen_113.scaffold_39.region001,0.064172738,lichen_113,class-NRP
359,lichen_113.scaffold_392.region001,0.013937282,lichen_113,class-Polyketide
360,lichen_113.scaffold_409.region001,0.064421605,lichen_113,class-Polyketide
361,lichen_113.scaffold_410.region001,0.128585694,lichen_113,class-NRP
362,lichen_113.scaffold_467.region001,0.0478392,lichen_113,class-Polyketide
363,lichen_113.scaffold_492.region001,0.017350035,lichen_113,class-Polyketide
364,lichen_113.scaffold_493.region001,0.032520325,lichen_113,class-Polyketide
365,lichen_113.scaffold_501.region001,0.0,lichen_113,class-Terpene
366,lichen_113.scaffold_51.region001,0.025280899,lichen_113,class-Polyketide
367,lichen_113.scaffold_521.region001,0.149158285,lichen_113,class-NRP
368,lichen_113.scaffold_53.region001,0.022825842,lichen_113,class-Polyketide
369,lichen_113.scaffold_534.region001,0.100774042,lichen_113,class-NRP
370,lichen_113.scaffold_537.region001,0.038834951,lichen_113,class-NRP
371,lichen_113.scaffold_545.region001,0.02601626,lichen_113,class-Polyketide
372,lichen_113.scaffold_56.region001,0.011257036,lichen_113,class-Polyketide
373,lichen_113.scaffold_580.region001,0.027131783,lichen_113,class-Polyketide
