,BGC,GCF,GCC
57,AP024425.1.region011.gbk,GCF_1382,GCC_58
58,AP024425.1.region012.gbk,GCF_143,GCC_58
59,AP024425.1.region013.gbk,GCF_2538,GCC_58
60,AP024425.1.region014.gbk,GCF_805,GCC_12
61,AP024425.1.region015.gbk,GCF_2480,GCC_58
62,AP024425.1.region016.gbk,GCF_1420,GCC_75
63,AP024426.1.region001.gbk,GCF_1693,GCC_46
64,AP024426.1.region002.gbk,GCF_2317,GCC_28
65,AP024426.1.region003.gbk,GCF_29,GCC_58
66,AP024426.1.region004.gbk,GCF_325,GCC_4
67,AP024426.1.region005.gbk,GCF_703,GCC_4
68,AP024426.1.region006.gbk,GCF_374,GCC_4
69,AP024426.1.region007.gbk,GCF_889,GCC_46
70,AP024426.1.region008.gbk,GCF_836,GCC_58
71,AP024427.1.region001.gbk,GCF_18,GCC_58
72,AP024427.1.region002.gbk,GCF_61,GCC_36
73,AP024427.1.region003.gbk,GCF_929,GCC_30
74,AP024427.1.region004.gbk,GCF_4332,GCC_46
75,AP024427.1.region005.gbk,GCF_25,GCC_4
76,AP024427.1.region006.gbk,GCF_1892,GCC_58
77,AP024427.1.region007.gbk,GCF_2377,GCC_46
78,AP024427.1.region008.gbk,GCF_11,GCC_58
79,AP024428.1.region001.gbk,GCF_944,GCC_4
80,AP024428.1.region002.gbk,GCF_1072,GCC_58
81,AP024428.1.region003.gbk,GCF_1129,GCC_4
82,AP024428.1.region004.gbk,GCF_341,GCC_58
83,AP024428.1.region005.gbk,GCF_1773,GCC_58
84,AP024428.1.region006.gbk,GCF_890,GCC_3
85,AP024428.1.region007.gbk,GCF_627,GCC_28
86,AP024428.1.region008.gbk,GCF_143,GCC_58
87,AP024428.1.region009.gbk,GCF_1124,GCC_58
88,AP024428.1.region010.gbk,GCF_4687,GCC_45
89,AP024428.1.region011.gbk,GCF_1664,GCC_30
90,AP024428.1.region012.gbk,GCF_1902,GCC_58
91,AP024429.1.region001.gbk,GCF_744,GCC_46
92,AP024429.1.region002.gbk,GCF_2619,GCC_104
93,AP024429.1.region003.gbk,GCF_777,GCC_58
94,AP024429.1.region004.gbk,GCF_1999,GCC_3
95,AP024429.1.region005.gbk,GCF_2325,GCC_58
96,AP024429.1.region006.gbk,GCF_1099,GCC_4
97,AP024429.1.region007.gbk,GCF_2241,GCC_45
98,AP024429.1.region008.gbk,GCF_1331,GCC_58
99,AP024429.1.region009.gbk,GCF_158,GCC_58
100,AP024429.1.region010.gbk,GCF_1198,GCC_46
101,AP024429.1.region011.gbk,GCF_1602,GCC_4
102,AP024429.1.region012.gbk,GCF_2402,GCC_58
103,AP024429.1.region013.gbk,GCF_3922,GCC_58
104,AP024429.1.region014.gbk,GCF_259,GCC_46
105,AP024429.1.region015.gbk,GCF_2673,GCC_52
106,AP024429.1.region016.gbk,GCF_2181,GCC_4
107,AP024429.1.region017.gbk,GCF_343,GCC_4
108,AP024429.1.region018.gbk,GCF_2084,GCC_27
109,AP024429.1.region019.gbk,GCF_4561,GCC_36
110,AP024430.1.region001.gbk,GCF_29,GCC_58
111,AP024430.1.region002.gbk,GCF_959,GCC_75
112,AP024430.1.region003.gbk,GCF_1057,GCC_58
113,AP024430.1.region004.gbk,GCF_2369,GCC_46
114,AP024430.1.region005.gbk,GCF_1045,GCC_45
115,AP024431.1.region001.gbk,GCF_1976,GCC_36
116,AP024431.1.region002.gbk,GCF_1825,GCC_4
117,AP024431.1.region003.gbk,GCF_1058,GCC_58
118,AP024431.1.region004.gbk,GCF_205,GCC_46
119,AP024431.1.region005.gbk,GCF_2277,GCC_58
120,AP024432.1.region001.gbk,GCF_1813,GCC_4
121,AP024432.1.region002.gbk,GCF_673,GCC_36
122,AP024432.1.region003.gbk,GCF_615,GCC_58
123,AP024432.1.region004.gbk,GCF_2647,GCC_46
124,AP024432.1.region005.gbk,GCF_1778,GCC_46
125,AP024432.1.region006.gbk,GCF_10,GCC_58
126,AP024432.1.region007.gbk,GCF_3210,GCC_58
127,AP024432.1.region008.gbk,GCF_143,GCC_58
128,AP024432.1.region009.gbk,GCF_757,GCC_58
129,AP024432.1.region010.gbk,GCF_2082,GCC_75
130,AP024432.1.region011.gbk,GCF_71,GCC_58
131,AP024432.1.region012.gbk,GCF_4874,GCC_58
132,AP024432.1.region013.gbk,GCF_964,GCC_4
133,AP024432.1.region014.gbk,GCF_553,GCC_52
134,AP024434.1.region001.gbk,GCF_29,GCC_58
135,AP024434.1.region002.gbk,GCF_591,GCC_36
136,AP024434.1.region003.gbk,GCF_709,GCC_58
137,AP024434.1.region004.gbk,GCF_998,GCC_12
138,AP024434.1.region005.gbk,GCF_130,GCC_18
139,AP024434.1.region006.gbk,GCF_143,GCC_58
140,AP024434.1.region007.gbk,GCF_1447,GCC_28
141,AP024434.1.region008.gbk,GCF_512,GCC_58
142,AP024434.1.region009.gbk,GCF_206,GCC_75
143,AP024434.1.region010.gbk,GCF_29,GCC_58
144,AP024434.1.region011.gbk,GCF_4046,GCC_28
145,AP024434.1.region012.gbk,GCF_1382,GCC_58
146,AP024434.1.region013.gbk,GCF_143,GCC_58
147,AP024434.1.region014.gbk,GCF_2538,GCC_58
148,AP024434.1.region015.gbk,GCF_805,GCC_12
149,AP024434.1.region016.gbk,GCF_2480,GCC_58
150,AP024434.1.region017.gbk,GCF_1420,GCC_75
151,AP024435.1.region001.gbk,GCF_1693,GCC_46
152,AP024435.1.region002.gbk,GCF_2317,GCC_28
153,AP024435.1.region003.gbk,GCF_29,GCC_58
154,AP024435.1.region004.gbk,GCF_325,GCC_4
155,AP024435.1.region005.gbk,GCF_703,GCC_4
156,AP024435.1.region006.gbk,GCF_374,GCC_4
157,AP024435.1.region007.gbk,GCF_889,GCC_46
158,AP024435.1.region008.gbk,GCF_836,GCC_58
159,AP024436.1.region001.gbk,GCF_18,GCC_58
160,AP024436.1.region002.gbk,GCF_61,GCC_36
161,AP024436.1.region003.gbk,GCF_929,GCC_30
162,AP024436.1.region004.gbk,GCF_4332,GCC_46
163,AP024436.1.region005.gbk,GCF_25,GCC_4
164,AP024436.1.region006.gbk,GCF_1892,GCC_58
165,AP024436.1.region007.gbk,GCF_2377,GCC_46
166,AP024436.1.region008.gbk,GCF_11,GCC_58
167,AP024437.1.region001.gbk,GCF_944,GCC_4
168,AP024437.1.region002.gbk,GCF_1072,GCC_58
169,AP024437.1.region003.gbk,GCF_1129,GCC_4
170,AP024437.1.region004.gbk,GCF_341,GCC_58
171,AP024437.1.region005.gbk,GCF_1773,GCC_58
172,AP024437.1.region006.gbk,GCF_890,GCC_3
173,AP024437.1.region007.gbk,GCF_627,GCC_28
174,AP024437.1.region008.gbk,GCF_143,GCC_58
175,AP024437.1.region009.gbk,GCF_1124,GCC_58
176,AP024437.1.region010.gbk,GCF_1664,GCC_30
177,AP024437.1.region011.gbk,GCF_1902,GCC_58
178,AP024437.1.region012.gbk,GCF_1078,GCC_58
179,AP024438.1.region001.gbk,GCF_744,GCC_46
180,AP024438.1.region002.gbk,GCF_777,GCC_58
181,AP024438.1.region003.gbk,GCF_1999,GCC_3
182,AP024438.1.region004.gbk,GCF_2325,GCC_58
183,AP024438.1.region005.gbk,GCF_1099,GCC_4
184,AP024438.1.region006.gbk,GCF_2241,GCC_45
185,AP024438.1.region007.gbk,GCF_158,GCC_58
186,AP024438.1.region008.gbk,GCF_1198,GCC_46
187,AP024438.1.region009.gbk,GCF_1602,GCC_4
188,AP024438.1.region010.gbk,GCF_3922,GCC_58
189,AP024438.1.region011.gbk,GCF_259,GCC_46
190,AP024438.1.region012.gbk,GCF_2181,GCC_4
191,AP024438.1.region013.gbk,GCF_343,GCC_4
192,AP024438.1.region014.gbk,GCF_2084,GCC_27
193,AP024438.1.region015.gbk,GCF_4561,GCC_36
194,AP024439.1.region001.gbk,GCF_29,GCC_58
195,AP024439.1.region002.gbk,GCF_959,GCC_75
196,AP024439.1.region003.gbk,GCF_1057,GCC_58
197,AP024439.1.region004.gbk,GCF_2369,GCC_46
198,AP024439.1.region005.gbk,GCF_1045,GCC_45
199,AP024440.1.region001.gbk,GCF_1976,GCC_36
200,AP024440.1.region002.gbk,GCF_1825,GCC_4
201,AP024440.1.region003.gbk,GCF_1058,GCC_58
202,AP024440.1.region004.gbk,GCF_205,GCC_46
203,AP024440.1.region005.gbk,GCF_2277,GCC_58
204,AP024441.1.region001.gbk,GCF_1813,GCC_4
205,AP024441.1.region002.gbk,GCF_673,GCC_36
206,AP024441.1.region003.gbk,GCF_615,GCC_58
207,AP024441.1.region004.gbk,GCF_48,GCC_58
208,AP024441.1.region005.gbk,GCF_1778,GCC_46
209,AP024441.1.region006.gbk,GCF_10,GCC_58
210,AP024441.1.region007.gbk,GCF_3210,GCC_58
211,AP024441.1.region008.gbk,GCF_143,GCC_58
212,AP024441.1.region009.gbk,GCF_757,GCC_58
213,AP024441.1.region010.gbk,GCF_2082,GCC_75
214,AP024441.1.region011.gbk,GCF_71,GCC_58
215,AP024441.1.region012.gbk,GCF_4874,GCC_58
216,AP024441.1.region013.gbk,GCF_964,GCC_4
217,AP024443.1.region001.gbk,GCF_3413,GCC_46
218,AP024443.1.region002.gbk,GCF_3737,GCC_3
219,AP024443.1.region003.gbk,GCF_2813,GCC_4
220,AP024443.1.region004.gbk,GCF_4171,GCC_58
221,AP024443.1.region005.gbk,GCF_18,GCC_58
222,AP024443.1.region006.gbk,GCF_137,GCC_58
223,AP024443.1.region007.gbk,GCF_29,GCC_58
224,AP024443.1.region008.gbk,GCF_29,GCC_58
225,AP024443.1.region009.gbk,GCF_106,GCC_36
226,AP024443.1.region010.gbk,GCF_4387,GCC_4
227,AP024443.1.region011.gbk,GCF_2981,GCC_28
228,AP024443.1.region012.gbk,GCF_4212,GCC_58
229,AP024443.1.region013.gbk,GCF_18,GCC_58
230,AP024443.1.region014.gbk,GCF_502,GCC_75
231,AP024443.1.region015.gbk,GCF_2966,GCC_4
232,AP024444.1.region001.gbk,GCF_3229,GCC_58
233,AP024444.1.region002.gbk,GCF_4515,GCC_12
234,AP024444.1.region003.gbk,GCF_10,GCC_58
235,AP024444.1.region004.gbk,GCF_3597,GCC_46
236,AP024444.1.region005.gbk,GCF_4272,GCC_36
237,AP024444.1.region006.gbk,GCF_4721,GCC_45
238,AP024444.1.region007.gbk,GCF_930,GCC_46
239,AP024444.1.region008.gbk,GCF_3551,GCC_46
240,AP024444.1.region009.gbk,GCF_29,GCC_58
241,AP024444.1.region010.gbk,GCF_2875,GCC_3
242,AP024444.1.region011.gbk,GCF_2744,GCC_58
243,AP024444.1.region012.gbk,GCF_4797,GCC_58
244,AP024444.1.region013.gbk,GCF_18,GCC_58
245,AP024445.1.region001.gbk,GCF_29,GCC_58
246,AP024445.1.region002.gbk,GCF_3103,GCC_60
247,AP024445.1.region003.gbk,GCF_249,GCC_58
248,AP024445.1.region004.gbk,GCF_4991,GCC_12
249,AP024445.1.region005.gbk,GCF_4263,GCC_4
250,AP024445.1.region006.gbk,GCF_3411,GCC_33
251,AP024445.1.region007.gbk,GCF_844,GCC_46
252,AP024445.1.region008.gbk,GCF_4043,GCC_4
253,AP024445.1.region009.gbk,GCF_71,GCC_58
254,AP024445.1.region010.gbk,GCF_203,GCC_75
255,AP024445.1.region011.gbk,GCF_189,GCC_58
256,AP024446.1.region001.gbk,GCF_3256,GCC_4
257,AP024446.1.region002.gbk,GCF_1097,GCC_46
258,AP024446.1.region003.gbk,GCF_4193,GCC_12
259,AP024446.1.region004.gbk,GCF_524,GCC_58
260,AP024446.1.region005.gbk,GCF_259,GCC_46
261,AP024446.1.region006.gbk,GCF_11,GCC_58
262,AP024446.1.region007.gbk,GCF_4169,GCC_12
263,AP024446.1.region008.gbk,GCF_3471,GCC_46
264,AP024447.1.region001.gbk,GCF_4647,GCC_4
265,AP024447.1.region002.gbk,GCF_2663,GCC_3
266,AP024447.1.region003.gbk,GCF_25,GCC_4
267,AP024447.1.region004.gbk,GCF_189,GCC_58
268,AP024447.1.region005.gbk,GCF_130,GCC_18
269,AP024447.1.region006.gbk,GCF_467,GCC_4
270,AP024447.1.region007.gbk,GCF_3472,GCC_58
271,AP024447.1.region008.gbk,GCF_4494,GCC_58
272,AP024448.1.region001.gbk,GCF_4667,GCC_58
273,AP024448.1.region002.gbk,GCF_3785,GCC_28
274,AP024448.1.region003.gbk,GCF_1664,GCC_30
275,AP024448.1.region004.gbk,GCF_1124,GCC_58
276,AP024448.1.region005.gbk,GCF_179,GCC_58
277,AP024448.1.region006.gbk,GCF_4183,GCC_12
278,AP024448.1.region007.gbk,GCF_3095,GCC_4
279,AP024449.1.region001.gbk,GCF_474,GCC_12
280,AP024449.1.region002.gbk,GCF_3636,GCC_4
281,AP024449.1.region003.gbk,GCF_10,GCC_58
282,AP024450.1.region001.gbk,GCF_4313,GCC_12
283,AP024450.1.region002.gbk,GCF_2581,GCC_4
284,AP025345.1.region001.gbk,GCF_10,GCC_58
285,AP025345.1.region002.gbk,GCF_2783,GCC_4
286,AP025345.1.region003.gbk,GCF_3978,GCC_58
287,AP025345.1.region004.gbk,GCF_143,GCC_58
288,AP025346.1.region001.gbk,GCF_3719,GCC_4
289,AP025346.1.region002.gbk,GCF_130,GCC_18
290,AP025346.1.region003.gbk,GCF_4863,GCC_46
291,AP025346.1.region004.gbk,GCF_3919,GCC_4
292,AP025347.1.region001.gbk,GCF_319,GCC_58
293,AP025347.1.region002.gbk,GCF_3060,GCC_4
294,AP025347.1.region003.gbk,GCF_259,GCC_46
295,AP025347.1.region004.gbk,GCF_288,GCC_30
296,AP025347.1.region005.gbk,GCF_18,GCC_58
297,AP025348.1.region001.gbk,GCF_500,GCC_36
298,AP025348.1.region002.gbk,GCF_3823,GCC_4
299,AP025349.1.region001.gbk,GCF_3107,GCC_75
300,AP025349.1.region002.gbk,GCF_141,GCC_58
301,AP025349.1.region003.gbk,GCF_2753,GCC_46
302,AP025349.1.region004.gbk,GCF_44,GCC_3
303,AP025350.1.region001.gbk,GCF_4749,GCC_4
304,AP025350.1.region002.gbk,GCF_2927,GCC_46
305,AP025350.1.region003.gbk,GCF_4753,GCC_58
306,AP025351.1.region001.gbk,GCF_248,GCC_2
307,AP025352.1.region001.gbk,GCF_518,GCC_58
308,AP025352.1.region002.gbk,GCF_89,GCC_46
309,BA000049.1.region001.gbk,GCF_29,GCC_58
310,BA000049.1.region002.gbk,GCF_618,GCC_58
311,BA000049.1.region003.gbk,GCF_731,GCC_58
312,BA000049.1.region004.gbk,GCF_1499,GCC_27
313,BA000049.1.region005.gbk,GCF_580,GCC_18
314,BA000049.1.region006.gbk,GCF_509,GCC_12
315,BA000049.1.region007.gbk,GCF_2785,GCC_4
316,BA000049.1.region008.gbk,GCF_850,GCC_58
317,BA000049.1.region009.gbk,GCF_29,GCC_58
318,BA000049.1.region010.gbk,GCF_1835,GCC_46
319,BA000050.1.region001.gbk,GCF_265,GCC_4
320,BA000050.1.region002.gbk,GCF_2204,GCC_4
321,BA000050.1.region003.gbk,GCF_1497,GCC_58
322,BA000050.1.region004.gbk,GCF_71,GCC_58
323,BA000050.1.region005.gbk,GCF_789,GCC_58
324,BA000050.1.region006.gbk,GCF_4108,GCC_46
325,BA000050.1.region007.gbk,GCF_259,GCC_46
326,BA000050.1.region008.gbk,GCF_1173,GCC_46
327,BA000051.1.region001.gbk,GCF_1807,GCC_36
328,BA000051.1.region002.gbk,GCF_1493,GCC_46
329,BA000051.1.region003.gbk,GCF_174,GCC_52
330,BA000051.1.region004.gbk,GCF_3418,GCC_58
331,BA000051.1.region005.gbk,GCF_218,GCC_4
332,BA000051.1.region006.gbk,GCF_1941,GCC_58
333,BA000051.1.region007.gbk,GCF_433,GCC_4
334,BA000051.1.region008.gbk,GCF_1880,GCC_4
335,BA000051.1.region009.gbk,GCF_143,GCC_58
336,BA000051.1.region010.gbk,GCF_1001,GCC_58
337,BA000052.1.region001.gbk,GCF_106,GCC_36
338,BA000052.1.region002.gbk,GCF_1664,GCC_30
339,BA000052.1.region003.gbk,GCF_1124,GCC_58
340,BA000052.1.region004.gbk,GCF_727,GCC_4
341,BA000052.1.region005.gbk,GCF_2461,GCC_4
342,BA000052.1.region006.gbk,GCF_1187,GCC_12
343,BA000052.1.region007.gbk,GCF_708,GCC_58
344,BA000053.1.region001.gbk,GCF_1026,GCC_58
345,BA000053.1.region002.gbk,GCF_258,GCC_12
346,BA000053.1.region003.gbk,GCF_1841,GCC_27
347,BA000053.1.region004.gbk,GCF_409,GCC_58
348,BA000053.1.region005.gbk,GCF_202,GCC_27
349,BA000053.1.region006.gbk,GCF_352,GCC_4
350,BA000053.1.region007.gbk,GCF_3664,GCC_36
351,BA000053.1.region008.gbk,GCF_405,GCC_34
352,BA000053.1.region009.gbk,GCF_213,GCC_36
353,BA000053.1.region010.gbk,GCF_2467,GCC_58
354,BA000054.1.region001.gbk,GCF_943,GCC_12
355,BA000054.1.region002.gbk,GCF_871,GCC_4
356,BA000054.1.region003.gbk,GCF_980,GCC_46
357,BA000054.1.region004.gbk,GCF_2089,GCC_58
358,BA000054.1.region005.gbk,GCF_1077,GCC_75
359,BA000054.1.region006.gbk,GCF_1803,GCC_4
360,BA000054.1.region007.gbk,GCF_632,GCC_27
361,BA000054.1.region008.gbk,GCF_25,GCC_4
362,BA000054.1.region009.gbk,GCF_29,GCC_58
363,BA000054.1.region010.gbk,GCF_4261,GCC_4
364,BA000054.1.region011.gbk,GCF_970,GCC_58
365,BA000055.1.region001.gbk,GCF_143,GCC_58
366,BA000055.1.region002.gbk,GCF_140,GCC_4
367,BA000055.1.region003.gbk,GCF_2217,GCC_45
368,BA000055.1.region004.gbk,GCF_1943,GCC_46
369,BA000055.1.region005.gbk,GCF_841,GCC_45
370,BA000055.1.region006.gbk,GCF_1498,GCC_12
371,BA000055.1.region007.gbk,GCF_143,GCC_58
372,BA000056.1.region001.gbk,GCF_787,GCC_4
373,BA000056.1.region002.gbk,GCF_1948,GCC_58
374,BA000056.1.region003.gbk,GCF_3212,GCC_4
375,BA000056.1.region004.gbk,GCF_1959,GCC_46
376,BA000056.1.region005.gbk,GCF_3942,GCC_46
377,BA000056.1.region006.gbk,GCF_38,GCC_58
378,BA000056.1.region007.gbk,GCF_1360,GCC_46
379,BA000056.1.region008.gbk,GCF_2082,GCC_75
380,BA000056.1.region009.gbk,GCF_71,GCC_58
381,BA000056.1.region010.gbk,GCF_18,GCC_58
382,BGC0000001.gbk,GCF_430,GCC_58
383,BGC0000002.gbk,GCF_68,GCC_58
384,BGC0000003.gbk,GCF_4448,GCC_58
385,BGC0000004.gbk,GCF_897,GCC_58
386,BGC0000005.gbk,GCF_4543,GCC_56
387,BGC0000006.gbk,GCF_897,GCC_58
388,BGC0000007.gbk,GCF_897,GCC_58
389,BGC0000008.gbk,GCF_897,GCC_58
390,BGC0000009.gbk,GCF_897,GCC_58
391,BGC0000010.gbk,GCF_4383,GCC_4
392,BGC0000011.gbk,GCF_897,GCC_58
393,BGC0000012.gbk,GCF_29,GCC_58
394,BGC0000013.gbk,GCF_18,GCC_58
395,BGC0000014.gbk,GCF_148,GCC_58
396,BGC0000016.gbk,GCF_4999,GCC_4
397,BGC0000017.gbk,GCF_4041,GCC_58
398,BGC0000018.gbk,GCF_144,GCC_58
399,BGC0000019.gbk,GCF_3087,GCC_49
400,BGC0000020.gbk,GCF_1272,GCC_58
401,BGC0000021.gbk,GCF_3724,GCC_58
402,BGC0000022.gbk,GCF_289,GCC_58
403,BGC0000023.gbk,GCF_4135,GCC_58
404,BGC0000024.gbk,GCF_2045,GCC_58
405,BGC0000025.gbk,GCF_2587,GCC_49
406,BGC0000026.gbk,GCF_2919,GCC_58
407,BGC0000027.gbk,GCF_157,GCC_58
408,BGC0000028.gbk,GCF_296,GCC_58
409,BGC0000029.gbk,GCF_164,GCC_58
410,BGC0000030.gbk,GCF_18,GCC_58
411,BGC0000031.gbk,GCF_1671,GCC_58
412,BGC0000032.gbk,GCF_2807,GCC_58
413,BGC0000033.gbk,GCF_3987,GCC_58
414,BGC0000034.gbk,GCF_932,GCC_58
415,BGC0000035.gbk,GCF_68,GCC_58
416,BGC0000036.gbk,GCF_549,GCC_58
417,BGC0000037.gbk,GCF_71,GCC_58
418,BGC0000038.gbk,GCF_3594,GCC_58
419,BGC0000039.gbk,GCF_29,GCC_58
420,BGC0000040.gbk,GCF_4419,GCC_58
421,BGC0000041.gbk,GCF_144,GCC_58
422,BGC0000042.gbk,GCF_4385,GCC_58
423,BGC0000043.gbk,GCF_1028,GCC_58
424,BGC0000044.gbk,GCF_224,GCC_58
425,BGC0000045.gbk,GCF_199,GCC_58
426,BGC0000046.gbk,GCF_1213,GCC_58
427,BGC0000047.gbk,GCF_68,GCC_58
428,BGC0000048.gbk,GCF_18,GCC_58
429,BGC0000050.gbk,GCF_144,GCC_58
430,BGC0000051.gbk,GCF_144,GCC_58
431,BGC0000052.gbk,GCF_3657,GCC_58
432,BGC0000053.gbk,GCF_820,GCC_58
433,BGC0000054.gbk,GCF_486,GCC_58
434,BGC0000055.gbk,GCF_486,GCC_58
435,BGC0000056.gbk,GCF_4577,GCC_58
436,BGC0000057.gbk,GCF_18,GCC_58
437,BGC0000058.gbk,GCF_133,GCC_58
438,BGC0000059.gbk,GCF_144,GCC_58
439,BGC0000060.gbk,GCF_133,GCC_58
440,BGC0000061.gbk,GCF_932,GCC_58
441,BGC0000062.gbk,GCF_715,GCC_58
442,BGC0000063.gbk,GCF_715,GCC_58
443,BGC0000064.gbk,GCF_10,GCC_58
444,BGC0000065.gbk,GCF_3197,GCC_58
445,BGC0000066.gbk,GCF_63,GCC_58
446,BGC0000067.gbk,GCF_144,GCC_58
447,BGC0000068.gbk,GCF_63,GCC_58
448,BGC0000069.gbk,GCF_4132,GCC_58
449,BGC0000070.gbk,GCF_300,GCC_58
450,BGC0000072.gbk,GCF_143,GCC_58
451,BGC0000073.gbk,GCF_144,GCC_58
452,BGC0000074.gbk,GCF_63,GCC_58
453,BGC0000075.gbk,GCF_4792,GCC_58
454,BGC0000076.gbk,GCF_199,GCC_58
455,BGC0000077.gbk,GCF_199,GCC_58
456,BGC0000078.gbk,GCF_4239,GCC_58
457,BGC0000079.gbk,GCF_4470,GCC_58
458,BGC0000080.gbk,GCF_148,GCC_58
459,BGC0000081.gbk,GCF_3459,GCC_58
460,BGC0000082.gbk,GCF_110,GCC_58
461,BGC0000083.gbk,GCF_1168,GCC_58
462,BGC0000084.gbk,GCF_144,GCC_58
463,BGC0000085.gbk,GCF_4822,GCC_58
464,BGC0000086.gbk,GCF_623,GCC_58
465,BGC0000087.gbk,GCF_623,GCC_58
466,BGC0000088.gbk,GCF_29,GCC_58
467,BGC0000090.gbk,GCF_63,GCC_58
468,BGC0000091.gbk,GCF_800,GCC_58
469,BGC0000092.gbk,GCF_486,GCC_58
470,BGC0000093.gbk,GCF_3743,GCC_58
471,BGC0000094.gbk,GCF_144,GCC_58
472,BGC0000096.gbk,GCF_4917,GCC_58
473,BGC0000097.gbk,GCF_164,GCC_58
474,BGC0000098.gbk,GCF_29,GCC_58
475,BGC0000099.gbk,GCF_71,GCC_58
476,BGC0000100.gbk,GCF_133,GCC_58
477,BGC0000101.gbk,GCF_4507,GCC_45
478,BGC0000102.gbk,GCF_68,GCC_58
479,BGC0000103.gbk,GCF_144,GCC_58
480,BGC0000104.gbk,GCF_71,GCC_58
481,BGC0000105.gbk,GCF_3175,GCC_58
482,BGC0000106.gbk,GCF_523,GCC_58
483,BGC0000107.gbk,GCF_18,GCC_58
484,BGC0000108.gbk,GCF_932,GCC_58
485,BGC0000109.gbk,GCF_133,GCC_58
486,BGC0000110.gbk,GCF_2045,GCC_58
487,BGC0000111.gbk,GCF_2982,GCC_58
488,BGC0000112.gbk,GCF_4329,GCC_58
489,BGC0000113.gbk,GCF_144,GCC_58
490,BGC0000114.gbk,GCF_133,GCC_58
491,BGC0000115.gbk,GCF_932,GCC_58
492,BGC0000116.gbk,GCF_932,GCC_58
493,BGC0000117.gbk,GCF_144,GCC_58
494,BGC0000118.gbk,GCF_1759,GCC_58
495,BGC0000119.gbk,GCF_1759,GCC_58
496,BGC0000120.gbk,GCF_143,GCC_58
497,BGC0000121.gbk,GCF_301,GCC_58
498,BGC0000122.gbk,GCF_143,GCC_58
499,BGC0000123.gbk,GCF_3628,GCC_58
500,BGC0000124.gbk,GCF_2448,GCC_58
501,BGC0000125.gbk,GCF_932,GCC_58
502,BGC0000126.gbk,GCF_144,GCC_58
